"Site1" "Site2" "RCb"
"101" "1" "174" 2
"102" "1" "175" 2
"103" "1" "176" 2
"104" "1" "177" 2
"105" "1" "178" 2
"106" "1" "179" 2
"107" "1" "18" 2
"108" "1" "2" 2
"109" "1" "22" 2
"110" "1" "23" 2
"111" "1" "24" 2
"112" "1" "25" 2
"113" "1" "26" 2
"114" "1" "28" 2
"115" "1" "29" 2
"116" "1" "3" 2
"117" "1" "30" 2
"118" "1" "31" 2
"119" "1" "32" 2
"120" "1" "33" 2
"121" "1" "34" 2
"122" "1" "35" 2
"123" "1" "36" 2
"124" "1" "37" 2
"125" "1" "38" 2
"126" "1" "4" 2
"127" "1" "41" 2
"128" "1" "43" 2
"129" "1" "44" 2
"130" "1" "45" 2
"131" "1" "46" 2
"132" "1" "466" 2
"133" "1" "467" 2
"134" "1" "468" 2
"135" "1" "469" 2
"136" "1" "472" 2
"137" "1" "473" 2
"138" "1" "474" 2
"139" "1" "5" 2
"140" "1" "6" 2
"141" "1" "60" 2
"142" "1" "62" 2
"143" "1" "64" 2
"144" "1" "66" 2
"145" "1" "67" 2
"146" "1" "68" 2
"147" "1" "69" 2
"148" "1" "7" 2
"149" "1" "70" 2
"150" "10" "11" 2
"151" "10" "12" 2
"152" "10" "14" 2
"153" "10" "15" 2
"154" "10" "150" 2
"155" "10" "151" 2
"156" "10" "152" 2
"157" "10" "153" 2
"158" "10" "154" 2
"159" "10" "155" 2
"160" "10" "156" 2
"161" "10" "157" 2
"162" "10" "158" 2
"163" "10" "159" 2
"164" "10" "16" 2
"165" "10" "160" 2
"166" "10" "161" 2
"167" "10" "162" 2
"168" "10" "163" 2
"169" "10" "166" 2
"170" "10" "168" 2
"171" "10" "17" 2
"172" "10" "172" 2
"173" "10" "173" 2
"174" "10" "174" 2
"175" "10" "175" 2
"176" "10" "176" 2
"177" "10" "177" 2
"178" "10" "178" 2
"179" "10" "179" 2
"180" "10" "18" 2
"181" "10" "2" 2
"182" "10" "22" 2
"183" "10" "23" 2
"184" "10" "24" 2
"185" "10" "25" 2
"186" "10" "26" 2
"187" "10" "28" 2
"188" "10" "29" 2
"189" "10" "3" 2
"190" "10" "30" 2
"191" "10" "31" 2
"192" "10" "32" 2
"193" "10" "33" 2
"194" "10" "34" 2
"195" "10" "35" 2
"196" "10" "36" 2
"197" "10" "37" 2
"198" "10" "38" 2
"199" "10" "4" 2
"200" "10" "41" 2
"201" "10" "43" 2
"202" "10" "44" 2
"203" "10" "45" 2
"204" "10" "46" 2
"205" "10" "466" 2
"206" "10" "467" 2
"207" "10" "468" 2
"208" "10" "469" 2
"209" "10" "472" 2
"210" "10" "473" 2
"211" "10" "474" 2
"212" "10" "5" 2
"213" "10" "6" 2
"214" "10" "60" 2
"215" "10" "62" 2
"216" "10" "64" 2
"217" "10" "66" 2
"218" "10" "67" 2
"219" "10" "68" 2
"220" "10" "69" 2
"221" "10" "7" 2
"222" "10" "70" 2
"223" "11" "12" 2
"224" "11" "14" 2
"225" "11" "15" 2
"226" "11" "150" 2
"227" "11" "151" 2
"228" "11" "152" 2
"229" "11" "153" 2
"230" "11" "154" 2
"231" "11" "155" 2
"232" "11" "156" 2
"233" "11" "157" 2
"234" "11" "158" 2
"235" "11" "159" 2
"236" "11" "16" 2
"237" "11" "160" 2
"238" "11" "161" 2
"239" "11" "162" 2
"240" "11" "163" 2
"241" "11" "166" 2
"242" "11" "168" 2
"243" "11" "17" 2
"244" "11" "172" 2
"245" "11" "173" 2
"246" "11" "174" 2
"247" "11" "175" 2
"248" "11" "176" 2
"249" "11" "177" 2
"250" "11" "178" 2
"251" "11" "179" 2
"252" "11" "18" 2
"253" "11" "2" 2
"254" "11" "22" 2
"255" "11" "23" 2
"256" "11" "24" 2
"257" "11" "25" 2
"258" "11" "26" 2
"259" "11" "28" 2
"260" "11" "29" 2
"261" "11" "3" 2
"262" "11" "30" 2
"263" "11" "31" 2
"264" "11" "32" 2
"265" "11" "33" 2
"266" "11" "34" 2
"267" "11" "35" 2
"268" "11" "36" 2
"269" "11" "37" 2
"270" "11" "38" 2
"271" "11" "4" 2
"272" "11" "41" 2
"273" "11" "43" 2
