"SRR12805327"	"SRR12805330"	"SRR12805341"	"SRR12805352"	"SRR12805363"	"SRR12805374"	"SRR12805381"	"SRR12805382"	"SRR12805383"	"SRR12805384"	"SRR12805385"	"SRR12805386"	"SRR12805387"	"SRR12805388"	"SRR12805389"	"SRR12805390"	"SRR12805391"	"SRR12805392"	"SRR12805393"	"SRR12805394"	"SRR12805395"	"SRR12805396"	"SRR12805397"	"SRR12805398"	"SRR12805399"	"SRR12805400"	"SRR12805401"	"SRR12805402"	"SRR12805403"	"SRR12805404"	"SRR12805405"	"SRR12805406"	"SRR12805407"	"SRR12805408"
"a679b90b860713e81fcb5971e697632e"	68	58	62	15	60	71	67	117	53	66	49	106	79	0	0	19	150	342	0	0	70	37	148	29	82	38	79	54	83	60	48	70	78	20
"1e49a80064dfde5ad89169cb076745f0"	102	15	78	120	45	0	255	145	152	88	0	136	234	0	39	0	113	293	0	0	0	11	125	26	0	131	0	0	47	0	89	0	31	0
"b33369fcff33a6052857b70e91a67677"	7	0	1186	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	138	15	14	21	5	0	152	515	19	75	0	0	49	34
"ec20c4158ae8572e64663bf4bcfc3c11"	27	10	20	15	41	90	85	55	88	74	51	36	61	174	78	410	113	63	43	40	25	68	60	48	31	31	35	88	40	115	24	24	54	16
"59126c9d338650496b528ac9763fef32"	71	25	38	108	49	18	152	170	161	52	0	122	123	0	30	0	188	238	0	26	0	89	50	46	40	53	38	0	57	48	97	29	66	27
"563dafa7ecbdaec2addabcff3bdce142"	0	0	0	0	0	0	43	342	63	132	0	90	153	187	245	155	261	94	0	0	0	0	61	0	0	0	40	35	0	242	0	61	0	0
"0b38f5929a79ed8f35a3e08113420bac"	19	0	0	9	0	14	45	26	124	55	12	53	50	193	13	1377	28	28	0	0	31	35	0	0	0	16	9	12	0	14	0	15	0	17
"79aeef6159351463c3618c62dbfa39ac"	0	117	0	0	0	0	72	866	128	0	0	212	253	0	0	101	183	113	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cc5d39ebedab1a2766ecbd43fb6f649c"	47	182	63	30	128	29	4	111	0	11	76	14	41	3	0	0	9	27	13	75	0	75	341	111	76	14	48	319	190	15	15	13	60	15
"2d0a9d41eacab36b333910dcb46f06b9"	62	222	124	0	0	0	0	131	0	0	0	0	18	0	0	0	0	0	0	0	0	163	507	220	66	0	117	286	94	61	0	10	13	0
"88524108706087f7c75e79d6c10c9c61"	38	98	97	23	93	0	0	81	0	0	0	33	148	0	0	0	0	82	0	0	61	0	284	77	212	50	251	127	193	0	37	0	0	0
"3e1a26e59596ea4b27910d21a7f2685f"	0	0	0	0	0	24	0	0	0	242	69	20	11	40	0	166	0	182	341	603	115	50	0	0	10	0	26	18	0	54	0	9	10	0
"481fc9ce7a9c747284ab440354a2d549"	0	0	0	0	0	0	270	93	256	173	0	118	153	100	244	144	201	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"c19d28067b371cfe432f864eeb6453db"	89	34	68	144	108	80	0	64	0	11	16	19	0	0	3	0	0	11	0	17	111	31	111	67	115	25	79	139	178	111	14	72	165	54
"8df4bd0b9c72f4e5b7ed5a48ba8c1afc"	0	174	46	50	67	31	0	0	0	0	132	0	0	0	0	0	0	0	20	133	185	75	64	0	91	0	61	0	292	156	0	62	201	100
"b4c1e218247b4ad7d670d7b305c43076"	225	36	225	165	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	9	48	131	104	21	206	77	0	158	52	116	100	106	0
"670629acef7bd7aca434bff7641f8a63"	75	57	161	123	114	70	0	84	55	43	0	0	0	0	0	0	0	0	0	0	0	32	143	112	75	109	56	17	119	74	118	103	143	22
"b7d6cf3f7467ca45087ca083796a0af0"	32	20	24	46	40	75	32	25	97	86	105	58	57	72	79	86	147	48	68	81	65	50	41	32	29	25	46	37	32	83	35	33	40	52
"919f52074a986016c7e460883cbe1484"	73	49	76	76	75	56	35	79	87	70	0	61	49	12	18	0	48	40	0	29	37	85	125	104	85	69	54	0	66	66	68	62	72	51
"dc8abaafea08b7ee3d7275815bf96564"	0	0	0	0	65	79	104	46	69	92	88	0	80	154	0	115	88	67	0	124	84	125	45	41	0	0	52	0	0	68	0	61	112	82
"53f4fa5086ba14d2076e3f0a6345c832"	54	38	47	106	144	167	0	0	0	0	184	0	0	0	0	0	0	0	0	86	52	119	82	50	98	41	79	0	33	84	59	0	193	92
"d61f9f8affb2c0da3a68090d393a250b"	64	58	80	73	81	0	61	52	88	63	0	92	84	4	37	0	83	0	0	31	5	101	67	90	86	75	12	10	47	78	71	91	87	33
"cc4fa36d40bc7a4d412d0e7cb87ef853"	87	37	43	57	71	48	18	54	28	9	0	74	57	41	50	0	22	17	0	0	193	43	116	121	63	53	56	20	47	57	83	98	80	10
"faef71610aa24b3d201ee1da2cce1099"	100	36	113	97	70	9	34	41	32	10	0	41	42	0	0	0	26	85	0	0	0	78	136	161	105	104	50	12	69	13	49	107	80	9
"f6de5d7d1c5b2e6920c6d5e57c0275fd"	119	53	140	152	54	0	0	97	39	0	0	98	28	0	0	0	0	0	0	0	0	26	140	163	45	137	0	0	80	23	132	139	25	0
"1611a9b32995bb08d46cc8db72d1d5a0"	43	21	16	60	154	76	0	137	0	0	160	6	83	0	0	0	0	20	39	77	40	19	67	58	52	5	49	96	15	44	77	7	90	44
"1d555fb0f811f2b189b862d48c0c4e3d"	0	0	0	0	51	82	38	0	0	51	0	0	35	86	89	115	74	0	76	376	111	96	44	0	0	0	0	0	0	82	0	0	51	72
"856f38334acd06b4d1172931d5f9a619"	68	36	35	46	72	67	0	170	0	3	28	21	8	0	0	0	0	0	0	6	71	68	119	67	88	22	74	45	97	63	24	61	93	68
"4ac1ba7968697c58abccec7fd5ff5ad4"	0	0	0	0	0	70	0	0	19	179	126	0	0	34	192	34	715	0	0	0	0	53	0	0	0	0	0	0	0	66	0	0	0	23
"ebfcee89238bfdd3d216f97a2804d805"	0	22	39	0	0	0	62	124	28	79	71	0	75	133	161	204	104	71	0	0	67	0	36	0	22	0	50	32	34	47	0	0	0	45
"3c2b89ee1f14f41731c3f9bb8cd8b84c"	164	61	155	103	3	0	0	239	0	0	0	242	56	0	0	0	0	0	0	0	0	0	182	0	34	43	0	0	124	0	56	40	0	0
