"","node.degree","betweenness.centrality","closeness.centrality","node.transitivity"
"79aeef6159351463c3618c62dbfa39ac",8,18.6166401463739,1.91120539724404e-05,0.857142857142857
"cc5d39ebedab1a2766ecbd43fb6f649c",15,381.1076983939,1.921561845468e-05,0.361904761904762
"ad72127c01dac114c005c83404612b5d",0,0,3.26411238991781e-06,NA
"2d0a9d41eacab36b333910dcb46f06b9",18,910.955111144559,1.92200503565319e-05,0.372549019607843
"c6ecf0fe8c87aa11b74dc6516b34b904",0,0,3.26411238991781e-06,NA
"88524108706087f7c75e79d6c10c9c61",13,37.2000894558206,1.91772940838048e-05,0.615384615384615
"3e1a26e59596ea4b27910d21a7f2685f",5,5.04927647915758,1.90020142135066e-05,0.8
"b74958c42f46f9a5365dca12ae061e04",0,0,3.26411238991781e-06,NA
"481fc9ce7a9c747284ab440354a2d549",38,4694.668710288,1.91846522781775e-05,0.413940256045519
"c19d28067b371cfe432f864eeb6453db",32,1968.83522808203,1.92741360368521e-05,0.320564516129032
"8df4bd0b9c72f4e5b7ed5a48ba8c1afc",9,96.1325258532006,1.91736171028665e-05,0.694444444444444
"f36c50279a8fa1c121cb9dda1ab1cb42",0,0,3.26411238991781e-06,NA
"b4c1e218247b4ad7d670d7b305c43076",97,1176.17310789965,1.93046466284435e-05,0.581829896907217
"670629acef7bd7aca434bff7641f8a63",105,2066.10954897711,1.93232981005198e-05,0.525824175824176
"6bd8bdc08257c42a63097ae67d5590ff",6,2706.2838891921,1.91490176553943e-05,0.2
"b7d6cf3f7467ca45087ca083796a0af0",28,193.157474687777,1.90748688602766e-05,0.574074074074074
"919f52074a986016c7e460883cbe1484",47,1360.10817066326,1.93057647013398e-05,0.685476410730805
"dc8abaafea08b7ee3d7275815bf96564",8,15.1586561713174,1.90302199893431e-05,0.714285714285714
"53f4fa5086ba14d2076e3f0a6345c832",26,7620.53255174181,1.92771084337349e-05,0.341538461538462
"d61f9f8affb2c0da3a68090d393a250b",13,22.8373088833728,1.92455735180908e-05,0.820512820512821
"98c5f26a7f6114ae74aa60dd13b0c1d0",2,920,1.88292003238622e-05,0
"14cb0b1999b6f965f6ee32889098ef65",5,4.26232985611782,1.89254149397226e-05,0.7
"cc4fa36d40bc7a4d412d0e7cb87ef853",21,0.181208756406942,1.92267020437984e-05,0.980952380952381
"faef71610aa24b3d201ee1da2cce1099",97,3224.16436163185,1.93318898855552e-05,0.594072164948454
"f6de5d7d1c5b2e6920c6d5e57c0275fd",117,645.640757527608,1.93147139490864e-05,0.522988505747126
"51a5955ebe58e2c36e26f6cfa32cbe22",1,0,1.88672125580167e-05,NA
"1611a9b32995bb08d46cc8db72d1d5a0",6,332.362391006311,1.916296182738e-05,0.333333333333333
"c96fcaa4b11ee06f2b40e2ce0075025a",2,3.60678054827234,1.89861401177141e-05,0
"1d555fb0f811f2b189b862d48c0c4e3d",27,857.353633676889,1.90854263684251e-05,0.424501424501424
"c46f368370d88db7a87cb1cba464a89c",1,0,1.8854761770085e-05,NA
"856f38334acd06b4d1172931d5f9a619",35,4656.65403667364,1.92860311276542e-05,0.302521008403361
"4ac1ba7968697c58abccec7fd5ff5ad4",16,501.95960450024,1.90200852099817e-05,0.508333333333333
"11b1b9498d856449b6356b82684d5912",4,0,1.900779319521e-05,1
"ebfcee89238bfdd3d216f97a2804d805",6,7.94665655725718,1.90505219843024e-05,0.733333333333333
"3c2b89ee1f14f41731c3f9bb8cd8b84c",54,275.89423501246,1.92685652626305e-05,0.674353598881901
"b60765bf2e10d524fe9872a961bc4c53",18,1244.24577660108,1.92159877017679e-05,0.457516339869281
"224169c210046c499c00e917faa08715",1,0,1.88430374976446e-05,NA
"8b7893c890c3fc90c1548f44857cfd35",18,281.944553342759,1.91824442270434e-05,0.705882352941177
"6c33785c46c3fef68941d9addceaf948",0,0,3.26411238991781e-06,NA
"6abc517aa40e9e7b9c652902fe04bb1a",19,180.678550473491,1.92134032701212e-05,0.660818713450292
"5253d98d25bc51baaf939f468ca8ef59",3,111.388168621726,1.90981837627242e-05,0.333333333333333
"42aa75ceb3aa380892f5799a438967ec",0,0,3.26411238991781e-06,NA
"a02848c0cbe248976cd4af4802b9ae79",85,926.858915229362,1.92811969767083e-05,0.543417366946779
"f0493d45d43f847aafc24636fd454a71",12,701.465353195232,1.90081544982798e-05,0.590909090909091
"da239bdbf78bd0f1cf6c0661482781dd",17,318.570376783383,1.9049796167181e-05,0.514705882352941
"5c71abd140cf62c27dd97fb112e96f96",17,984.377602459578,1.90367409099562e-05,0.448529411764706
"28636ebe1e16ad47240eaa81244bd0b1",6,75.7330475313693,1.89591430467343e-05,0.466666666666667
"44480529c018c2d9b2795dcbcbaa1000",15,199.379848259827,1.9208974432855e-05,0.428571428571429
"b15e35a767f8c9d193abc4f13b866315",21,276.689714426582,1.90697763115239e-05,0.623809523809524
"aa65593d5b6bb0554ae1cd1e3df3da45",17,95.9150434047637,1.92015975729181e-05,0.683823529411765
"93e24884925cae6a2e3134217b58c675",27,573.188069267707,1.91607587660471e-05,0.541310541310541
"7c9f454292d4c13da1c45f58c47098d0",124,722.747817539052,1.93173257094288e-05,0.497508523472331
"522bc852651c57201b2461aff25c1997",15,173.392299589645,1.90556042532109e-05,0.580952380952381
"826995c850aaa44b2ec407595c7627b4",79,2473.99189435633,1.93068829037552e-05,0.557611165206102
"af0f71644cecdfc76a415d319dc1b950",111,656.716618265488,1.93128488383321e-05,0.546601146601147
"76363618e6a55a0556fa9cdda32b9519",27,220.743881754857,1.92470552005543e-05,0.66951566951567
"608e92bae485d3cd93d70977cd760bf3",22,5240.92160638004,1.92693078464622e-05,0.32034632034632
"d913d23408b12ca79cc2924431677f76",14,176.39183183903,1.92215281114849e-05,0.505494505494505
"1d90e2a14fcaf64ce6648221213758a8",55,538.872484704136,1.92797100331611e-05,0.709090909090909
"5f56c891d6d94049a3d43d20b5b70e35",0,0,3.26411238991781e-06,NA
