"SRR12805327"	"SRR12805330"	"SRR12805341"	"SRR12805352"	"SRR12805363"	"SRR12805374"	"SRR12805381"	"SRR12805382"	"SRR12805383"	"SRR12805384"	"SRR12805385"	"SRR12805386"	"SRR12805387"	"SRR12805388"	"SRR12805389"	"SRR12805390"	"SRR12805391"	"SRR12805392"	"SRR12805393"	"SRR12805394"	"SRR12805395"	"SRR12805396"	"SRR12805397"	"SRR12805398"	"SRR12805399"	"SRR12805400"	"SRR12805401"	"SRR12805402"	"SRR12805403"	"SRR12805404"	"SRR12805405"	"SRR12805406"	"SRR12805407"	"SRR12805408"
"00f20d641a58e3c82c5756568ad89548"	60	0	0	73	0	171	406	145	512	95	66	147	107	175	77	250	188	185	276	0	0	74	0	64	0	61	0	0	0	0	68	76	0	83
"2d9a9d6012e671d8135cb2df734d9edd"	52	0	44	40	74	83	0	161	0	135	125	56	110	261	175	119	131	0	374	313	109	101	79	69	53	0	100	254	73	113	0	0	70	59
"c1be1572f5d0338f1cca9b274a8d54e6"	135	29	56	150	184	408	107	219	83	44	0	106	124	0	0	0	0	47	0	0	82	286	103	55	92	63	88	89	26	275	79	62	185	103
"1ea07fe0b6c2c00341fc8ecbaeadb555"	62	24	109	0	108	178	51	72	94	125	178	0	140	253	68	83	153	157	0	60	146	80	132	83	83	0	133	73	106	141	29	37	159	120
"bfe7795e52d043e68f31cc33f4023911"	52	28	51	47	65	85	134	101	169	128	101	155	89	209	196	277	156	187	19	62	117	104	62	53	27	34	56	24	31	110	43	81	59	83
"146195f72933e590d98b89c38d6eda33"	87	31	50	87	119	98	89	30	99	57	92	92	94	148	171	152	161	114	125	146	114	98	92	84	63	46	62	34	66	81	58	77	131	122
"a5927113ef0dddaffbd1938bc5eef420"	47	101	26	46	158	190	0	136	61	169	64	44	53	0	0	0	0	31	0	24	638	168	121	119	74	19	107	68	136	90	49	72	206	26
"38ce83ce2922ff43032f70fa5adad3a6"	104	24	27	46	52	165	25	220	19	51	144	218	121	133	83	0	132	95	0	0	74	15	60	48	44	41	160	204	66	327	49	77	129	89
"208daa2a0a9431b996760dfed1f9f6d5"	111	50	40	50	84	115	35	70	38	43	94	39	102	126	111	340	100	81	51	119	90	130	110	65	66	36	94	102	45	134	58	62	119	71
"c1dbed49b6ae7ebfe39e2d86023e7e0d"	150	46	138	107	174	36	159	89	132	0	0	62	55	0	0	0	0	135	0	0	0	48	158	327	152	122	203	77	122	0	166	194	81	21
"98d23c5d4d9c8e08b1b0f5c3e10d3821"	111	32	119	354	180	9	32	74	11	28	13	73	46	23	10	0	168	29	0	67	0	71	147	190	138	81	29	30	89	53	115	123	223	53
"88f2d1164fbbde8282b9288408fba5ec"	86	106	154	303	152	4	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	3	366	518	132	286	33	0	116	0	59	238	53	0
"bcf48260ab6de20c82d8a703407e66ad"	42	35	28	26	62	323	64	8	68	31	228	11	20	8	186	33	11	182	13	18	286	55	58	50	76	21	157	130	43	36	38	99	72	113
"cc2915b764b53d86be9c17337954ba02"	88	34	51	117	56	0	184	100	193	145	0	154	137	0	88	52	200	278	0	45	0	76	105	78	48	90	0	0	47	0	87	66	68	0
"fa96cbd7b2df953f48e159b78c51527d"	0	11	17	0	29	243	22	0	0	23	349	0	56	90	19	58	33	43	644	273	181	0	19	38	28	0	32	122	17	74	0	0	39	89
"28bc4d20befe48bd9fc12456d11ad7d5"	62	0	52	86	181	311	0	102	0	0	55	108	61	0	0	0	0	0	0	68	94	281	63	44	67	39	93	0	0	256	70	0	179	198
"ddb51f97a8df8bfd7be315d74cc779ba"	48	118	0	11	7	0	0	189	42	51	0	0	183	0	0	0	37	23	0	26	0	0	77	40	30	10	106	1207	43	114	5	80	17	0
"2485303879b6cf4a626fca6dcb328f16"	132	12	11	35	136	317	35	55	37	72	47	51	33	18	0	15	29	199	22	37	167	22	60	41	69	24	46	27	35	490	40	28	91	11
"a1a46747a2d054385d4531d04d78eefa"	0	0	0	0	0	33	51	0	19	169	46	15	52	454	270	787	175	114	173	15	30	2	3	0	0	0	0	4	0	8	20	0	0	7
"612b259eb6294befb380ac4de0737a94"	0	0	0	0	18	35	18	51	120	123	44	61	42	556	440	221	130	69	127	129	102	22	0	0	0	0	20	0	0	42	0	11	0	64
"3b73aa488ac80fc7809f7b8d7eecf061"	12	216	155	0	6	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	14	289	71	124	41	78	1134	155	0	13	80	16	0
"1ccbf55b47c2919b550103df1667d244"	52	0	25	37	28	0	210	176	329	146	0	139	213	0	0	0	317	210	0	56	0	69	54	40	0	50	0	0	55	114	0	85	0	0
"79c9235ff041fe76f6dc89a18c5a222a"	125	0	128	110	68	0	127	167	56	0	0	184	168	0	0	0	22	74	0	0	0	60	156	128	132	132	0	0	159	0	115	148	136	0
"1db22b035d3fb0858c969f8fedda264f"	0	17	0	0	24	38	0	24	45	70	80	16	46	396	273	196	89	27	507	165	44	80	15	0	11	0	17	99	9	27	0	0	18	29
"a679b90b860713e81fcb5971e697632e"	68	58	62	15	60	71	67	117	53	66	49	106	79	0	0	19	150	342	0	0	70	37	148	29	82	38	79	54	83	60	48	70	78	20
"1e49a80064dfde5ad89169cb076745f0"	102	15	78	120	45	0	255	145	152	88	0	136	234	0	39	0	113	293	0	0	0	11	125	26	0	131	0	0	47	0	89	0	31	0
