"Chlorophyll","Depth","DNA_per_g","org_matter","pH","water_content","Area","Faith","Richness","Shannon","Simpson","Inv.Simpson","Pilou","Glacier","logRichness","logChlorophyll","logDepth","logDNA_per_g","logorg_matter","logpH","logwater_content","logArea","logFaith","logShannon","logSimpson","logInvSimp","logPilou"
0.021,0.28,0.99,0.34,8.6,25,226.980069221863,9.653162966,101,3.95848510843155,0.970032499236788,33.3694827573876,0.210185735279717,"Taylor",4.61512051684126,-3.86323284125871,-1.27296567581289,-0.0100503358535015,-1.07880966137193,2.15176220325946,3.2188758248682,5.42486221284194,2.26728563014394,1.37586140370022,-0.0304257036781446,3.50764179241503,-1.55976368545044
0.024,0.25,1.09,0.4,8.15,23,314.159265358979,10.331879271,108,4.17738138725886,0.977642705944145,44.7281320137282,0.208802927239743,"Taylor",4.68213122712422,-3.72970144863419,-1.38629436111989,0.0861776962410524,-0.916290731874155,2.09801792725277,3.13549421592915,5.74990007183749,2.33523419020597,1.42968458784885,-0.0226110070425284,3.80060265519844,-1.5663644037245
0.113,0.22,0.94,0.38,8.29,26,176.714586764426,7.850528558,84,3.83385199804679,0.966980811538375,30.2854202840936,0.218239854058243,"Taylor",4.43081679884331,-2.1803674602698,-1.51412773262978,-0.0618754037180875,-0.967584026261706,2.1150499691472,3.25809653802148,5.17453592693393,2.0605808617569,1.34387004138665,-0.0335766270159251,3.4106664179689,-1.52216057304866
0.228,0.15,10.53,0.58,9.02,32,78.5398163397448,9.99395293,108,3.878922065486,0.958396170098742,24.0362486428146,0.204692291524557,"Canada",4.68213122712422,-1.4784096500277,-1.89711998488588,2.35422832614588,-0.544727175441672,2.19944433407453,3.46573590279973,4.3636057107176,2.30198020308503,1.35555729686285,-0.0424940477696483,3.17956305101855,-1.58624744445162
0.026,0.16,13.17,0.47,8.74,31,226.980069221863,11.360827844,125,4.00501875532577,0.959364873415571,24.6092502732156,0.198695636947485,"Canada",4.8283137373023,-3.64965874096066,-1.83258146374831,2.57794151575519,-0.755022584278033,2.16791018966744,3.43398720448515,5.42486221284194,2.4301712842294,1.38754826348708,-0.0414838036597341,3.20312239962423,-1.61598108765495
0.069,0.2,7.81,0.53,8.29,29,376.991118430775,12.952408637,151,4.29066273661721,0.973642224670044,37.9394689984893,0.19405778755369,"Canada",5.01727983681492,-2.67364877438488,-1.6094379124341,2.05540496385159,-0.63487827243597,2.1150499691472,3.36729582998647,5.93222162863145,2.56128176598573,1.45644120506845,-0.0267113686210255,3.63599196858629,-1.63959929028636
0.039,0.27,7.67,0.6,8.34,26,2002.76531666349,13.110264544,147,4.37988809677344,0.976489063291232,42.5333967926118,0.195672228070622,"Canada",4.99043258677874,-3.24419363285249,-1.30933331998376,2.03731661537916,-0.510825623765991,2.12106321637066,3.25809653802148,7.60228416288198,2.57339547636683,1.47702317538012,-0.0237917286346953,3.75028957423077,-1.63131432537792
0.034,0.25,12.54,0.72,8.61,32,1962.71001033022,13.230202144,146,4.03250340600914,0.934302395403146,15.2212551148004,0.187475149289146,"Canada",4.98360662170834,-3.38139475436598,-1.38629436111989,2.52892353520477,-0.328504066972036,2.15292431843964,3.46573590279973,7.58208145556446,2.58250225722405,1.39438737565646,-0.067955129338557,2.72269281386927,-1.67410897948005
0.138,0.35,6.12,0.52,8.67,23,4051.86912496744,12.440629679,129,4.3619371297873,0.979087021706983,47.8171968616222,0.201466011492183,"Canada",4.85981240436167,-1.98050159382493,-1.04982212449868,1.81156209652423,-0.653926467406664,2.15986879079245,3.13549421592915,8.30693356597416,2.52096770331298,1.47291625451355,-0.0211347520393655,3.86738534177633,-1.60213458928119
0.039,0.26,27.65,0.88,8.76,36,988.03088955399,13.318849126,150,4.42278697871272,0.979280600988193,48.2639481690634,0.195440406956384,"Canada",5.01063529409626,-3.24419363285249,-1.34707364796661,3.31962572796834,-0.127833371509885,2.1701959049483,3.58351893845611,6.8957139619899,2.58918025942743,1.48677003555424,-0.0209370575109255,3.87668486723318,-1.63249976977743
