"Sample_1" "Sample_2" "bMNTD" "mean_bMNTD" "sd_bMNTD" "bNTI"
"139" "SRR12805392" "SRR12805363" 0.0204790119518217 0.0268165842802723 0.00613759488619132 -1.03258237892325
"140" "SRR12805393" "SRR12805363" 0.04469593762152 0.0480559476066482 0.00860807333739366 -0.390332406966406
"141" "SRR12805394" "SRR12805363" 0.0232869087803711 0.0248345883266033 0.00703515886311133 -0.219992124747515
"142" "SRR12805395" "SRR12805363" 0.0200144115412894 0.0235982922305587 0.00614135241260375 -0.583565385681859
"143" "SRR12805396" "SRR12805363" 0.00874982579496248 0.0109675974238517 0.00489661611148846 -0.45291923614062
"144" "SRR12805397" "SRR12805363" 0.00295086038506281 0.00359490280069861 0.001380575622984 -0.466502815864415
"145" "SRR12805398" "SRR12805363" 0.00321611199631284 0.00740238414740019 0.00227849376373961 -1.83729805089156
"146" "SRR12805399" "SRR12805363" 0.00310613463226487 0.00897301873219621 0.0048504621202688 -1.20955157559425
"147" "SRR12805400" "SRR12805363" 0.0120142859593095 0.0181057339839429 0.00582789808538402 -1.04522212560825
"148" "SRR12805401" "SRR12805363" 0.00562168741207024 0.013342573721422 0.00527969201263392 -1.46237437541362
"149" "SRR12805402" "SRR12805363" 0.0213436712855265 0.0306013943080684 0.00776334476314083 -1.19249154906738
"150" "SRR12805403" "SRR12805363" 0.00552432943332743 0.00888638301765195 0.00237459599989008 -1.41584235149059
"151" "SRR12805404" "SRR12805363" 0.00533072432566246 0.00554707643675312 0.00147618504993779 -0.146561646251446
"152" "SRR12805405" "SRR12805363" 0.00997808699532506 0.0128047168139397 0.00505083243115041 -0.559636427686994
"153" "SRR12805406" "SRR12805363" 0.004865051728938 0.0152576206074141 0.00556170802075327 -1.8685930364731
"154" "SRR12805407" "SRR12805363" 0.00269951786645311 0.0027676908096797 0.000883432136577152 -0.0771682853769906
"155" "SRR12805408" "SRR12805363" 0.0125692403689438 0.0197039124210059 0.00594644178318235 -1.19982206371554
"156" "SRR12805381" "SRR12805374" 0.0155449240057813 0.0242627925205369 0.00509513967073199 -1.71101659191674
"157" "SRR12805382" "SRR12805374" 0.0158997642306995 0.0256621875301449 0.00697017464836231 -1.4005995246818
"158" "SRR12805383" "SRR12805374" 0.0102909871711574 0.0160129047747268 0.00352068040955534 -1.62523061963813
"159" "SRR12805384" "SRR12805374" 0.0100690649146007 0.0140393924787703 0.00376074372532489 -1.05572935944381
"160" "SRR12805385" "SRR12805374" 0.00729603165500221 0.00980752786339912 0.00294918979600184 -0.851588531806838
"161" "SRR12805386" "SRR12805374" 0.0186607100874819 0.0217644462608462 0.0048570552977786 -0.639016025776724
"162" "SRR12805387" "SRR12805374" 0.0147115935160267 0.0239533593170999 0.00538987829509163 -1.71465203759598
"163" "SRR12805388" "SRR12805374" 0.0219046933774966 0.0259419736456897 0.00871277990459054 -0.463374527120324
"164" "SRR12805389" "SRR12805374" 0.0230357708355094 0.0243258929689045 0.00844342470444125 -0.152796072512681
"165" "SRR12805390" "SRR12805374" 0.0318140445644344 0.0359799119129364 0.00948160083770581 -0.439363291052653
"166" "SRR12805391" "SRR12805374" 0.0102178033576795 0.0176280321592474 0.00430028273298372 -1.72319572030243
"167" "SRR12805392" "SRR12805374" 0.0121436838943769 0.017190380524887 0.00388863559728753 -1.29780651960043
"168" "SRR12805393" "SRR12805374" 0.0303098118488423 0.0242653012143235 0.00547094801647007 1.10483788482764
"169" "SRR12805394" "SRR12805374" 0.015029987256733 0.0141306132462988 0.00358151996977868 0.251115174010827
"170" "SRR12805395" "SRR12805374" 0.00989240652925592 0.00934570373798344 0.00271694547246324 0.201219640516682
"171" "SRR12805396" "SRR12805374" 0.00699043438287977 0.00798431071745148 0.00232932636318617 -0.426679726069916
"172" "SRR12805397" "SRR12805374" 0.0170109493325094 0.0175800907994494 0.00368638254352363 -0.154390234930972
"173" "SRR12805398" "SRR12805374" 0.0149787036148616 0.0205171877333736 0.0040240009739498 -1.37636251938471
"174" "SRR12805399" "SRR12805374" 0.0153263130817644 0.0159397661833104 0.00326981684483258 -0.187610845089236
"175" "SRR12805400" "SRR12805374" 0.0309214253171605 0.0270808004869607 0.00536486225006958 0.715885077971953
"176" "SRR12805401" "SRR12805374" 0.0139073046734341 0.0124415654767239 0.00322170437292598 0.454957695382512
"177" "SRR12805402" "SRR12805374" 0.0224796045721075 0.0306140576374449 0.0129044466818542 -0.630360469215295
"178" "SRR12805403" "SRR12805374" 0.0248440325525746 0.0267792521980793 0.00490565360938536 -0.394487625828747
"179" "SRR12805404" "SRR12805374" 0.00846148788262787 0.00722112723760547 0.00209980439707398 0.590702946784377
"180" "SRR12805405" "SRR12805374" 0.0199981973324034 0.0203724568538902 0.00392884154516958 -0.0952595102612096
"181" "SRR12805406" "SRR12805374" 0.0180744897110167 0.0243010693374742 0.00484979765743968 -1.28388441462208
"182" "SRR12805407" "SRR12805374" 0.0108805354902595 0.0130927017666849 0.00301535450499883 -0.733633897028735
"183" "SRR12805408" "SRR12805374" 0.00651066249815205 0.00590492186181419 0.0019180345767572 0.315813199448146
"184" "SRR12805382" "SRR12805381" 0.0163428534500337 0.0211051634937093 0.00516139101116 -0.922679570948702
"185" "SRR12805383" "SRR12805381" 0.00480299007490671 0.00760620014125313 0.00208462765529066 -1.34470540061773
"186" "SRR12805384" "SRR12805381" 0.00887728271774486 0.0173978186299658 0.00404012043512502 -2.10898067249256
"187" "SRR12805385" "SRR12805381" 0.027443142140824 0.043466188745887 0.00687835010155658 -2.32948982946317
"188" "SRR12805386" "SRR12805381" 0.00984206436319564 0.0111024029743656 0.00310246172597909 -0.406238246427435
"189" "SRR12805387" "SRR12805381" 0.00778498122162762 0.0133401375036537 0.00419239756842918 -1.3250547428658
"190" "SRR12805388" "SRR12805381" 0.0195054235429829 0.0301265814428545 0.0061177728737612 -1.7361151057806
"191" "SRR12805389" "SRR12805381" 0.0229911920044977 0.0298872986649933 0.00591761842420404 -1.16535169491317
"192" "SRR12805390" "SRR12805381" 0.0329919369376704 0.0380120744339371 0.00645529826521942 -0.777677078581295
"193" "SRR12805391" "SRR12805381" 0.0101253218587055 0.0148038901618258 0.00370402030018144 -1.26310547026188
"194" "SRR12805392" "SRR12805381" 0.00890009225646198 0.00942362695158996 0.00274791541504304 -0.190520673330034
"195" "SRR12805393" "SRR12805381" 0.0440544108088243 0.0509959819719357 0.00818584274267189 -0.847997131306431
"196" "SRR12805394" "SRR12805381" 0.0365370739488738 0.046012205771524 0.00919402295787715 -1.03057517542222
"197" "SRR12805395" "SRR12805381" 0.0298184647954713 0.0372575117490768 0.0072662497402862 -1.02378079745336
"198" "SRR12805396" "SRR12805381" 0.0118276088221109 0.0215441304530891 0.00459108770768366 -2.11638771673139
"199" "SRR12805397" "SRR12805381" 0.0341208026062074 0.0296465173339967 0.00651592810367586 0.68666891362515
"200" "SRR12805398" "SRR12805381" 0.0360006473901171 0.0294624664920046 0.00837551364831886 0.780630439235795
"201" "SRR12805399" "SRR12805381" 0.0357403792579327 0.0385978810988333 0.00766463249073087 -0.372816549828868
"202" "SRR12805400" "SRR12805381" 0.053983881557062 0.0380363914603456 0.0109195060184362 1.46045893191424
"203" "SRR12805401" "SRR12805381" 0.0381180277653072 0.0350316706224903 0.00740861083787245 0.416590533685423
"204" "SRR12805402" "SRR12805381" 0.0447114992909846 0.0571794046643287 0.0146466321205354 -0.85124725402663
"205" "SRR12805403" "SRR12805381" 0.0518936256807732 0.0462992864489569 0.00990159007478277 0.564994025158037
"206" "SRR12805404" "SRR12805381" 0.0291025287169687 0.0318881494873731 0.00693747463663296 -0.401532389854821
"207" "SRR12805405" "SRR12805381" 0.0198206796311071 0.0228809553986004 0.00461407974166577 -0.663247264640575
"208" "SRR12805406" "SRR12805381" 0.027980542135576 0.0242996516031444 0.0066584588053972 0.552814193195561
"209" "SRR12805407" "SRR12805381" 0.0299656404728535 0.0361767323110667 0.0086966462295743 -0.714193917316252
"210" "SRR12805408" "SRR12805381" 0.0162297616389368 0.0317010655047957 0.00654441603125441 -2.36404650804166
"211" "SRR12805383" "SRR12805382" 0.0177526236524335 0.0152982205987458 0.00420788536499678 0.583286577648868
"212" "SRR12805384" "SRR12805382" 0.0193979877137412 0.0230105815146344 0.00680442645711056 -0.530918193276689
"213" "SRR12805385" "SRR12805382" 0.0246844920230977 0.0401542539563068 0.00798218400585722 -1.93803624695417
"214" "SRR12805386" "SRR12805382" 0.00723812630314299 0.0109911927361198 0.00392693187766909 -0.955724863555444
"215" "SRR12805387" "SRR12805382" 0.00682360778881294 0.0048949575714634 0.00165743288956667 1.16363698915965
"216" "SRR12805388" "SRR12805382" 0.0330125843289892 0.0431229370341582 0.00844075584361798 -1.19780181923085
"217" "SRR12805389" "SRR12805382" 0.0261355575946986 0.0341366778588593 0.00748794051921613 -1.06853416418409
"218" "SRR12805390" "SRR12805382" 0.0484477299108702 0.0507115879980368 0.00821858753956012 -0.275455858597301
"219" "SRR12805391" "SRR12805382" 0.016040208418298 0.0151152592051706 0.00400244223539876 0.231096205448474
"220" "SRR12805392" "SRR12805382" 0.0137259035796957 0.0143009398881689 0.00410674976192978 -0.140022241872129
"221" "SRR12805393" "SRR12805382" 0.0461957013504561 0.0476582339892797 0.00714368638043375 -0.204730801568976
"222" "SRR12805394" "SRR12805382" 0.0312435919663585 0.0422238477448068 0.00882600488122177 -1.2440799576046
"223" "SRR12805395" "SRR12805382" 0.0279595927228981 0.0375163274282544 0.0074219522442285 -1.2876308538347
"224" "SRR12805396" "SRR12805382" 0.0170968480693938 0.0250902903049833 0.00648578148798086 -1.23245629696323
"225" "SRR12805397" "SRR12805382" 0.00991593865261868 0.0159357248813105 0.00567020087263353 -1.06165308141825
"226" "SRR12805398" "SRR12805382" 0.00962756708914993 0.0161252416623169 0.00594459104535717 -1.0930397942583
"227" "SRR12805399" "SRR12805382" 0.0108612632577007 0.0223259277429632 0.00660182580126383 -1.73658997228733
"228" "SRR12805400" "SRR12805382" 0.0118920107704052 0.0262340146673405 0.00694927337768593 -2.06381345465375
"229" "SRR12805401" "SRR12805382" 0.0143500201753293 0.0247943671023552 0.00673269323202726 -1.55128810523289
"230" "SRR12805402" "SRR12805382" 0.0287013740153677 0.0352306463277324 0.00860548036998706 -0.758734205604197
"231" "SRR12805403" "SRR12805382" 0.0152756212511983 0.0240113280932352 0.00664404606928827 -1.31481731928639
"232" "SRR12805404" "SRR12805382" 0.0154380333959239 0.0202544611651687 0.00599929069419686 -0.802832870543145
"233" "SRR12805405" "SRR12805382" 0.0107596625124045 0.0217192609268129 0.00651243698022731 -1.68287208731282
"234" "SRR12805406" "SRR12805382" 0.00624158668784942 0.0218377541966935 0.00634876797789408 -2.45656599251204
"235" "SRR12805407" "SRR12805382" 0.0122130726455423 0.0198815124906382 0.00609830581190012 -1.25747053060733
"236" "SRR12805408" "SRR12805382" 0.0220905066982153 0.0324613156554139 0.00734983919203988 -1.41102528725125
"237" "SRR12805384" "SRR12805383" 0.00672637283440313 0.0119330338423456 0.00354087247952762 -1.47044578364401
"238" "SRR12805385" "SRR12805383" 0.0142426078137864 0.0294627155063077 0.00607787077478497 -2.50418415535657
"239" "SRR12805386" "SRR12805383" 0.0137372432566603 0.00945463811742406 0.00292807630088244 1.46260025326033
"240" "SRR12805387" "SRR12805383" 0.00650414460426231 0.0100265129760813 0.00401885261148628 -0.876461197345666
"241" "SRR12805388" "SRR12805383" 0.0137585848120449 0.0255139591654973 0.00609028934943915 -1.93018322758917
"242" "SRR12805389" "SRR12805383" 0.0165667276664624 0.0204006933317728 0.00474292120278829 -0.808355336592251
"243" "SRR12805390" "SRR12805383" 0.0273716023996334 0.0337555078606293 0.00694803337356707 -0.918807541322792
"244" "SRR12805391" "SRR12805383" 0.00704056518679522 0.00962131793213706 0.00346795994344316 -0.744170286690089
"245" "SRR12805392" "SRR12805383" 0.00530291196076211 0.00546103015474003 0.00185676045646559 -0.0851581007271661
"246" "SRR12805393" "SRR12805383" 0.0316400545004257 0.0382971105102792 0.00791364032267593 -0.841212860126858
"247" "SRR12805394" "SRR12805383" 0.019842686841375 0.0330916219533065 0.00794038924874111 -1.66854982758333
