"Chlorophyll","Depth","DNA_per_g","org_matter","pH","water_content","Area","Faith","Richness","Shannon","Simpson","Inv.Simpson","Pilou","Glacier","logRichness","logChlorophyll","logDepth","logDNA_per_g","logorg_matter","logpH","logwater_content","logArea","logFaith","logShannon","logSimpson","logInvSimp","logPilou"
0.021,0.28,0.99,0.34,8.6,25,226.980069221863,4.0045060635,9,2.07498797952384,0.860207100591716,7.15343915343915,0.391497122990759,"Taylor",2.19722457733622,-3.86323284125871,-1.27296567581289,-0.0100503358535015,-1.07880966137193,2.15176220325946,3.2188758248682,5.42486221284194,1.38742024295201,0.729955360665323,-0.150582104084245,1.96759324154327,-0.937777112260889
0.024,0.25,1.09,0.4,8.15,23,314.159265358979,4.2011593975,10,2.24006769407279,0.887566924449732,8.8941798941799,0.385465417608359,"Taylor",2.30258509299405,-3.72970144863419,-1.38629436111989,0.0861776962410524,-0.916290731874155,2.09801792725277,3.13549421592915,5.74990007183749,1.43536053421916,0.806506085978526,-0.11927135264491,2.18539711834897,-0.953303797892866
0.113,0.22,0.94,0.38,8.29,26,176.714586764426,1.2421301985,3,0.984086503082915,0.5859375,2.41509433962264,0.533343296851662,"Taylor",1.09861228866811,-2.1803674602698,-1.51412773262978,-0.0618754037180875,-0.967584026261706,2.1150499691472,3.25809653802148,5.17453592693393,0.216827807727182,-0.0160414761566006,-0.534542150383307,0.881738350367495,-0.628589978000007
0.228,0.15,10.53,0.58,9.02,32,78.5398163397448,1.0738321495,3,1.08219553003877,0.65625,2.90909090909091,0.597344492473862,"Canada",1.09861228866811,-1.4784096500277,-1.89711998488588,2.35422832614588,-0.544727175441672,2.19944433407453,3.46573590279973,4.3636057107176,0.0712336984910897,0.0789918757788343,-0.421213465076304,1.06784063000136,-0.515261292693003
0.026,0.16,13.17,0.47,8.74,31,226.980069221863,3.0762151855,10,2.01943206937518,0.825679012345679,5.73654390934844,0.358587838885055,"Canada",2.30258509299405,-3.64965874096066,-1.83258146374831,2.57794151575519,-0.755022584278033,2.16791018966744,3.43398720448515,5.42486221284194,1.12370000547095,0.702816318107318,-0.191549185895993,1.74685692260734,-1.02558163114395
0.069,0.2,7.81,0.53,8.29,29,376.991118430775,4.1497199805,13,2.49488285618111,0.912413358538122,11.4172661870504,0.35572373227716,"Canada",2.56494935746154,-2.67364877438488,-1.6094379124341,2.05540496385159,-0.63487827243597,2.1150499691472,3.36729582998647,5.93222162863145,1.42304085738778,0.914241776670812,-0.0916621475807477,2.43512678739572,-1.03360088232886
0.039,0.27,7.67,0.6,8.34,26,2002.76531666349,6.0207500125,22,2.85383192059085,0.927948240368591,13.8789115646259,0.300205595481358,"Canada",3.09104245335832,-3.24419363285249,-1.30933331998376,2.03731661537916,-0.510825623765991,2.12106321637066,3.25809653802148,7.60228416288198,1.79521183835446,1.04866262474537,-0.0747793232163259,2.63037053446969,-1.20328772077807
0.034,0.25,12.54,0.72,8.61,32,1962.71001033022,4.6697705425,16,2.70512587857929,0.92919921875,14.1241379310345,0.335137776222131,"Canada",2.77258872223978,-3.38139475436598,-1.38629436111989,2.52892353520477,-0.328504066972036,2.15292431843964,3.46573590279973,7.58208145556446,1.54110993610537,0.995148446734847,-0.0734321188632489,2.64788524373883,-1.09321355940148
0.138,0.35,6.12,0.52,8.67,23,4051.86912496744,6.1044336615,26,3.18740450861418,0.955200470542104,22.3216630196937,0.293177460948459,"Canada",3.25809653802148,-1.98050159382493,-1.04982212449868,1.81156209652423,-0.653926467406664,2.15986879079245,3.13549421592915,8.30693356597416,1.80901533692054,1.15920695195397,-0.0458340437328403,3.10555764278832,-1.2269771845423
0.039,0.26,27.65,0.88,8.76,36,988.03088955399,8.580610724,26,3.12351142563234,0.950061185245615,20.024504084014,0.291600072053897,"Canada",3.25809653802148,-3.24419363285249,-1.34707364796661,3.31962572796834,-0.127833371509885,2.1701959049483,3.58351893845611,6.8957139619899,2.14950509092008,1.13895782590297,-0.0512288909397971,2.99695672780452,-1.23237203174925
0.129,0.29,15.91,0.95,8.42,36,1943.86045440868,6.3745069795,31,3.34272708427729,0.961805555555556,26.1818181818182,0.280084199003228,"Canada",3.43398720448515,-2.04794287462046,-1.23787435600162,2.7669478423497,-0.0512932943875506,2.13060982825424,3.58351893845611,7.5724311997323,1.85230675150485,1.20678696613869,-0.0389429739486069,3.26506520733758,-1.27266501029148
0.079,0.22,8.79,0.58,8.63,30,3895.57489045134,6.2637185045,26,3.1842276955183,0.955820834608713,22.635103926097,0.293367867849965,"Canada",3.25809653802148,-2.53830742651512,-1.51412773262978,2.17361471169709,-0.544727175441672,2.15524450509534,3.40119738166216,8.26759654444848,1.83477401906124,1.15820977783677,-0.045184794991627,3.11950197226669,-1.22632793580108
0.025,0.19,8.9,0.59,9.22,34,1166.31627264521,4.1217164755,14,2.59848908859356,0.922915353917244,12.9727520435967,0.34971402233683,"Canada",2.63905732961526,-3.68887945411394,-1.66073120682165,2.18605127673809,-0.527632742082372,2.2213750375685,3.52636052461616,7.06160557596631,1.4162696968663,0.954930156340191,-0.0802177562499636,2.56285116113995,-1.05063953752733
0.017,0.16,8.2,0.82,8.54,31,1587.28968822624,4.5574648475,14,2.60149446329732,0.923076923076923,13,0.349775244636878,"Canada",2.63905732961526,-4.07454193492592,-1.83258146374831,2.10413415427021,-0.198450938723838,2.14476100780048,3.43398720448515,7.36978324213313,1.51676651443068,0.956086073472775,-0.0800427076735365,2.56494935746154,-1.0504644889509
0.108,0.27,8.55,0.54,8.61,29,1520.53084433746,5.3175986185,19,2.79636511345117,0.93141693073789,14.5808580858086,0.316330865515702,"Canada",2.94443897916644,-2.22562405185792,-1.30933331998376,2.14593128294867,-0.616186139423817,2.15292431843964,3.36729582998647,7.32681479256603,1.67102181394755,1.02832040005619,-0.0710482708688928,2.67970957847069,-1.15096657039097
0.079,0.18,22.84,0.7,8.59,28,433.539786195391,4.9572858685,16,2.59085025979886,0.907785119218615,10.8442367601246,0.327414272422373,"Canada",2.77258872223978,-2.53830742651512,-1.71479842809193,3.12851338478781,-0.356674943938732,2.15059873599616,3.3322045101752,6.0719835710066,1.60085838703467,0.951986107474133,-0.0967475812304814,2.38363376468142,-1.11652902176871
0.05,0.15,13.63,0.63,8.39,33,268.606171881927,1.5284684045,4,1.30610660908539,0.710059171597633,3.44897959183673,0.512199422800815,"Canada",1.38629436111989,-2.99573227355399,-1.89711998488588,2.61227324570844,-0.462035459596559,2.12704052047911,3.49650756146648,5.59324626179211,0.424266191215904,0.267050657756509,-0.342406972141028,1.23807841681245,-0.669041232119309
