"Sample_1" "Sample_2" "bMNTD" "mean_bMNTD" "sd_bMNTD" "bNTI"
"141" "SRR12805394" "SRR12805363" NA NA NA NA
"142" "SRR12805395" "SRR12805363" 0.65034482475 0.613597732037287 0.204215624445272 0.179942611210734
"143" "SRR12805396" "SRR12805363" 0.756494317392857 0.609057736719648 0.207636443080293 0.71007082613236
"144" "SRR12805397" "SRR12805363" 0.695460212051724 0.557078011829709 0.185076922463568 0.747701001183738
"145" "SRR12805398" "SRR12805363" 0.684884336442308 0.582792852698063 0.193476633424704 0.527668287054289
"146" "SRR12805399" "SRR12805363" 0.720994999 0.657170114521522 0.247471816815411 0.257907689448474
"147" "SRR12805400" "SRR12805363" 0.638450521347826 0.561951030521739 0.184373582014286 0.414915683637148
"148" "SRR12805401" "SRR12805363" 0.659060964909091 0.597690998158954 0.195761215787001 0.313494000859243
"149" "SRR12805402" "SRR12805363" 0.5712585524375 0.551939683973348 0.182099391011246 0.10608969286975
"150" "SRR12805403" "SRR12805363" 0.671871478588235 0.584019803129217 0.190063928477804 0.46222171751689
"151" "SRR12805404" "SRR12805363" 0.627623469088235 0.57937966447948 0.185779509895333 0.259683129942242
"152" "SRR12805405" "SRR12805363" 0.5223024615 0.593876942885219 0.195088725612062 -0.366881690167714
"153" "SRR12805406" "SRR12805363" 0.715255963526316 0.595853401880855 0.196460832174215 0.607767768893391
"154" "SRR12805407" "SRR12805363" 0.68260057175 0.577907920536086 0.193360577716372 0.541437414235909
"155" "SRR12805408" "SRR12805363" 0.72458533 0.664548868172172 0.238417850803438 0.251811941201183
"156" "SRR12805381" "SRR12805374" 0.47295993970598 0.521748737273205 0.122866389093285 -0.397088234848205
"157" "SRR12805382" "SRR12805374" 0.506327639948774 0.467430559737901 0.0842824334583692 0.461508746423255
"158" "SRR12805383" "SRR12805374" 0.430478658537209 0.348172568038255 0.0743137142533127 1.10754914252299
"159" "SRR12805384" "SRR12805374" 0.428303010343023 0.495378282564653 0.107061527687281 -0.626511443191354
"160" "SRR12805385" "SRR12805374" 0.448823732049154 0.438129455485559 0.0871235785437639 0.122748362066227
"161" "SRR12805386" "SRR12805374" 0.443704850861522 0.499125405886086 0.102259892397231 -0.541957885201766
"162" "SRR12805387" "SRR12805374" 0.624007705884615 0.468073294667897 0.0787582923026939 1.97991102470088
"163" "SRR12805388" "SRR12805374" 0.668695828967852 0.494982067349387 0.102569775713258 1.69361549648013
"164" "SRR12805389" "SRR12805374" 0.605124350732558 0.517201355479622 0.120364138130411 0.73047501206443
"165" "SRR12805390" "SRR12805374" 0.443237115162791 0.56796179949219 0.190449867000389 -0.654895098084496
"166" "SRR12805391" "SRR12805374" 0.58728461831783 0.480225781387219 0.089327395862339 1.19849947372917
"167" "SRR12805392" "SRR12805374" 0.497056050407641 0.473001205168775 0.0858636228887244 0.280151761940442
"168" "SRR12805393" "SRR12805374" 0.597820886445032 0.499461327819848 0.103215133717708 0.952956752390553
"169" "SRR12805394" "SRR12805374" NA NA NA NA
"170" "SRR12805395" "SRR12805374" 0.524535371482558 0.513618017305882 0.121062375856526 0.0901795797367717
"171" "SRR12805396" "SRR12805374" 0.632320903590532 0.512512118029994 0.119450919998643 1.00299592135329
"172" "SRR12805397" "SRR12805374" 0.440640800628308 0.460751539332551 0.0745438091037578 -0.269784157075345
"173" "SRR12805398" "SRR12805374" 0.564872601756261 0.485216821567601 0.092753362199566 0.858791296613857
"174" "SRR12805399" "SRR12805374" 0.596821585197674 0.562227956003771 0.18391015710784 0.188100699482403
"175" "SRR12805400" "SRR12805374" 0.503377209471689 0.460631554398008 0.0759887628315965 0.562526003593607
"176" "SRR12805401" "SRR12805374" 0.530960578153277 0.502562090601497 0.105850926851193 0.268287566264798
"177" "SRR12805402" "SRR12805374" 0.416123540680717 0.389906795351596 0.0620980088786 0.422183348589711
"178" "SRR12805403" "SRR12805374" 0.436045693136115 0.484401487039344 0.0915256661043027 -0.528330423163741
