Site1	Site2	RCb
213	SRR12805382	SRR12805385	0.575757575757576
214	SRR12805382	SRR12805386	1
215	SRR12805382	SRR12805387	1
216	SRR12805382	SRR12805388	0.898989898989899
217	SRR12805382	SRR12805389	0.717171717171717
218	SRR12805382	SRR12805390	0.838383838383838
219	SRR12805382	SRR12805391	0.676767676767677
220	SRR12805382	SRR12805392	0.97979797979798
221	SRR12805382	SRR12805393	0.97979797979798
222	SRR12805382	SRR12805394	0.737373737373737
223	SRR12805382	SRR12805395	0.494949494949495
224	SRR12805382	SRR12805396	1
225	SRR12805382	SRR12805397	1
226	SRR12805382	SRR12805398	0.898989898989899
227	SRR12805382	SRR12805399	0.898989898989899
228	SRR12805382	SRR12805400	0.898989898989899
229	SRR12805382	SRR12805401	1
230	SRR12805382	SRR12805402	1
231	SRR12805382	SRR12805403	0.97979797979798
232	SRR12805382	SRR12805404	0.757575757575758
233	SRR12805382	SRR12805405	0.777777777777778
234	SRR12805382	SRR12805406	0.95959595959596
235	SRR12805382	SRR12805407	1
236	SRR12805382	SRR12805408	0.353535353535354
237	SRR12805383	SRR12805384	1
238	SRR12805383	SRR12805385	-0.0101010101010101
239	SRR12805383	SRR12805386	0.939393939393939
240	SRR12805383	SRR12805387	1
241	SRR12805383	SRR12805388	0.797979797979798
242	SRR12805383	SRR12805389	0.838383838383838
243	SRR12805383	SRR12805390	0.97979797979798
244	SRR12805383	SRR12805391	1
245	SRR12805383	SRR12805392	0.95959595959596
246	SRR12805383	SRR12805393	0.414141414141414
247	SRR12805383	SRR12805394	0.0303030303030303
248	SRR12805383	SRR12805395	0.252525252525253
249	SRR12805383	SRR12805396	1
250	SRR12805383	SRR12805397	0.939393939393939
251	SRR12805383	SRR12805398	0.111111111111111
252	SRR12805383	SRR12805399	0.454545454545455
253	SRR12805383	SRR12805400	0.212121212121212
254	SRR12805383	SRR12805401	0.555555555555556
255	SRR12805383	SRR12805402	-0.191919191919192
256	SRR12805383	SRR12805403	-0.191919191919192
257	SRR12805383	SRR12805404	0.555555555555556
258	SRR12805383	SRR12805405	0.777777777777778
259	SRR12805383	SRR12805406	0.95959595959596
260	SRR12805383	SRR12805407	0.616161616161616
261	SRR12805383	SRR12805408	0.191919191919192
262	SRR12805384	SRR12805385	0.838383838383838
263	SRR12805384	SRR12805386	0.656565656565657
264	SRR12805384	SRR12805387	0.97979797979798
265	SRR12805384	SRR12805388	0.97979797979798
266	SRR12805384	SRR12805389	1
267	SRR12805384	SRR12805390	1
268	SRR12805384	SRR12805391	1
269	SRR12805384	SRR12805392	0.797979797979798
270	SRR12805384	SRR12805393	0.919191919191919
271	SRR12805384	SRR12805394	0.636363636363636
272	SRR12805384	SRR12805395	0.939393939393939
273	SRR12805384	SRR12805396	0.919191919191919
274	SRR12805384	SRR12805397	0.656565656565657
275	SRR12805384	SRR12805398	-0.131313131313131
276	SRR12805384	SRR12805399	0.535353535353535
277	SRR12805384	SRR12805400	-0.111111111111111
278	SRR12805384	SRR12805401	0.555555555555556
279	SRR12805384	SRR12805402	0.393939393939394
280	SRR12805384	SRR12805403	0.131313131313131
281	SRR12805384	SRR12805404	0.95959595959596
282	SRR12805384	SRR12805405	0.191919191919192
283	SRR12805384	SRR12805406	0.656565656565657
284	SRR12805384	SRR12805407	0.333333333333333
285	SRR12805384	SRR12805408	0.838383838383838
286	SRR12805385	SRR12805386	0.0101010101010102
287	SRR12805385	SRR12805387	0.292929292929293
288	SRR12805385	SRR12805388	0.97979797979798
289	SRR12805385	SRR12805389	0.939393939393939
290	SRR12805385	SRR12805390	1
291	SRR12805385	SRR12805391	0.797979797979798
292	SRR12805385	SRR12805392	0.858585858585859
293	SRR12805385	SRR12805393	1
294	SRR12805385	SRR12805394	1
295	SRR12805385	SRR12805395	1
296	SRR12805385	SRR12805396	0.898989898989899
297	SRR12805385	SRR12805397	0.757575757575758
298	SRR12805385	SRR12805398	0.414141414141414
299	SRR12805385	SRR12805399	0.313131313131313
300	SRR12805385	SRR12805400	-0.676767676767677
301	SRR12805385	SRR12805401	0.97979797979798
302	SRR12805385	SRR12805402	0.97979797979798
303	SRR12805385	SRR12805403	0.474747474747475
304	SRR12805385	SRR12805404	1
305	SRR12805385	SRR12805405	-0.0505050505050505
306	SRR12805385	SRR12805406	0.191919191919192
307	SRR12805385	SRR12805407	0.656565656565657
308	SRR12805385	SRR12805408	1
309	SRR12805386	SRR12805387	1
310	SRR12805386	SRR12805388	0.252525252525253
311	SRR12805386	SRR12805389	-0.0505050505050505
312	SRR12805386	SRR12805390	0.555555555555556
313	SRR12805386	SRR12805391	-0.171717171717172
314	SRR12805386	SRR12805392	0.939393939393939
315	SRR12805386	SRR12805393	0.515151515151515
316	SRR12805386	SRR12805394	-0.0909090909090909
317	SRR12805386	SRR12805395	0.131313131313131
318	SRR12805386	SRR12805396	1
319	SRR12805386	SRR12805397	0.95959595959596
320	SRR12805386	SRR12805398	0.757575757575758
321	SRR12805386	SRR12805399	0.95959595959596
322	SRR12805386	SRR12805400	1
323	SRR12805386	SRR12805401	0.555555555555556
324	SRR12805386	SRR12805402	0.151515151515152
325	SRR12805386	SRR12805403	-0.0303030303030303
326	SRR12805386	SRR12805404	0.191919191919192
327	SRR12805386	SRR12805405	1
328	SRR12805386	SRR12805406	0.97979797979798
329	SRR12805386	SRR12805407	0.797979797979798
330	SRR12805386	SRR12805408	0.494949494949495
331	SRR12805387	SRR12805388	0.919191919191919
332	SRR12805387	SRR12805389	0.353535353535354
333	SRR12805387	SRR12805390	0.939393939393939
334	SRR12805387	SRR12805391	0.97979797979798
335	SRR12805387	SRR12805392	1
336	SRR12805387	SRR12805393	0.777777777777778
337	SRR12805387	SRR12805394	0.434343434343434
338	SRR12805387	SRR12805395	-0.0909090909090909
339	SRR12805387	SRR12805396	0.97979797979798
340	SRR12805387	SRR12805397	1
341	SRR12805387	SRR12805398	0.797979797979798
342	SRR12805387	SRR12805399	0.919191919191919
343	SRR12805387	SRR12805400	0.878787878787879
344	SRR12805387	SRR12805401	0.535353535353535
345	SRR12805387	SRR12805402	0.858585858585859
346	SRR12805387	SRR12805403	0.797979797979798
347	SRR12805387	SRR12805404	0.232323232323232
348	SRR12805387	SRR12805405	0.474747474747475
349	SRR12805387	SRR12805406	0.95959595959596
350	SRR12805387	SRR12805407	0.777777777777778
351	SRR12805387	SRR12805408	-0.0101010101010101
352	SRR12805388	SRR12805389	1
353	SRR12805388	SRR12805390	1
354	SRR12805388	SRR12805391	1
355	SRR12805388	SRR12805392	0.898989898989899
356	SRR12805388	SRR12805393	1
357	SRR12805388	SRR12805394	1
358	SRR12805388	SRR12805395	1
359	SRR12805388	SRR12805396	0.95959595959596
360	SRR12805388	SRR12805397	0.858585858585859
361	SRR12805388	SRR12805398	0.414141414141414
362	SRR12805388	SRR12805399	0.494949494949495
363	SRR12805388	SRR12805400	-0.515151515151515
364	SRR12805388	SRR12805401	0.858585858585859
365	SRR12805388	SRR12805402	0.696969696969697
366	SRR12805388	SRR12805403	0.393939393939394
367	SRR12805388	SRR12805404	1
368	SRR12805388	SRR12805405	0.232323232323232
369	SRR12805388	SRR12805406	0.353535353535354
370	SRR12805388	SRR12805407	0.676767676767677
371	SRR12805388	SRR12805408	1
372	SRR12805389	SRR12805390	1
373	SRR12805389	SRR12805391	1
374	SRR12805389	SRR12805392	0.858585858585859
375	SRR12805389	SRR12805393	1
376	SRR12805389	SRR12805394	0.97979797979798
377	SRR12805389	SRR12805395	1
378	SRR12805389	SRR12805396	0.858585858585859
379	SRR12805389	SRR12805397	0.676767676767677
380	SRR12805389	SRR12805398	0.212121212121212
381	SRR12805389	SRR12805399	0.434343434343434
