"Chlorophyll","Depth","DNA_per_g","org_matter","pH","water_content","Area","Faith","Richness","Shannon","Simpson","Inv.Simpson","Pilou","logRichness","Glacier","logChlorophyll","logDepth","logDNA_per_g","logorg_matter","logpH","logwater_content","logArea","logFaith","logShannon","logSimpson","logInvSimp","logPilou"
0.034,0.34,2,0.4,7.66,24,5584.18094175586,33.187400956,377,5.15877609802508,0.990601772625338,106.403043907621,0.166985979392987,5.93224518744801,"Taylor",-3.38139475436598,-1.07880966137193,0.693147180559945,-0.916290731874155,2.0360119837525,3.17805383034795,8.6276930475268,3.50217031462106,1.64069936105419,-0.00944266938346915,4.66723418465267,-1.78984542582048
0.021,0.28,0.99,0.34,8.6,25,226.980069221863,22.669034202,232,4.47348214599844,0.978518582545946,46.5518628898158,0.179652242393062,5.44673737166631,"Taylor",-3.86323284125871,-1.27296567581289,-0.0100503358535015,-1.07880966137193,2.15176220325946,3.2188758248682,5.42486221284194,3.1209998611417,1.49816710893875,-0.0217155014771261,3.8405670220376,-1.7167322834907
0.024,0.25,1.09,0.4,8.15,23,314.159265358979,27.355471246,252,4.64694092282764,0.983253188003254,59.7128575990633,0.177821827975694,5.52942908751142,"Taylor",-3.72970144863419,-1.38629436111989,0.0861776962410524,-0.916290731874155,2.09801792725277,3.13549421592915,5.74990007183749,3.30891655441913,1.53620913705187,-0.0168886253634948,4.0895473673783,-1.72697319642018
0.113,0.22,0.94,0.38,8.29,26,176.714586764426,16.015467272,162,4.21470218385933,0.974757569094861,39.6158358819715,0.191594911401385,5.08759633523238,"Taylor",-2.1803674602698,-1.51412773262978,-0.0618754037180875,-0.967584026261706,2.1150499691472,3.25809653802148,5.17453592693393,2.7735549597819,1.43857893269642,-0.0255664859842947,3.67922893433272,-1.65237197224594
0.228,0.15,10.53,0.58,9.02,32,78.5398163397448,19.482892538,215,4.26967908224994,0.967031393487221,30.3318855655115,0.180058940562105,5.37063802812766,"Canada",-1.4784096500277,-1.89711998488588,2.35422832614588,-0.544727175441672,2.19944433407453,3.46573590279973,4.3636057107176,2.9695367747682,1.4515386680344,-0.0335243192293184,3.41219948810018,-1.71447103412393
0.026,0.16,13.17,0.47,8.74,31,226.980069221863,27.01492908,290,4.48465126143638,0.969227615968509,32.4966697080292,0.170943204828191,5.66988092298052,"Canada",-3.64965874096066,-1.83258146374831,2.57794151575519,-0.755022584278033,2.16791018966744,3.43398720448515,5.42486221284194,3.29638964208437,1.50066073584015,-0.0312557968752206,3.48113761356305,-1.76642391315635
0.069,0.2,7.81,0.53,8.29,29,376.991118430775,28.995271983,348,4.81676157806639,0.980881161209157,52.3044318193076,0.167608889917793,5.85220247977447,"Canada",-2.67364877438488,-1.6094379124341,2.05540496385159,-0.63487827243597,2.1150499691472,3.36729582998647,5.93222162863145,3.36713278162585,1.57210183048506,-0.019303967214447,3.95708110589966,-1.78612204987192
0.039,0.27,7.67,0.6,8.34,26,2002.76531666349,33.917568488,435,5.13912496988984,0.985857072820644,70.7067205620413,0.162271756666341,6.07534603108868,"Canada",-3.24419363285249,-1.30933331998376,2.03731661537916,-0.510825623765991,2.12106321637066,3.25809653802148,7.60228416288198,3.52393312462789,1.63688282565367,-0.0142438914580757,4.25854062583947,-1.81848283891253
0.034,0.25,12.54,0.72,8.61,32,1962.71001033022,33.532539137,373,4.67356720480805,0.954490648701313,21.9735059161095,0.161188551608969,5.92157841964382,"Canada",-3.38139475436598,-1.38629436111989,2.52892353520477,-0.328504066972036,2.15292431843964,3.46573590279973,7.58208145556446,3.51251628492979,1.54192263551102,-0.0465774329294777,3.08983745109414,-1.82518047122711
0.138,0.35,6.12,0.52,8.67,23,4051.86912496744,34.816279056,407,5.18955370851838,0.988459899179976,86.6543555897548,0.164501685886107,6.00881318544259,"Canada",-1.98050159382493,-1.04982212449868,1.81156209652423,-0.653926467406664,2.15986879079245,3.13549421592915,8.30693356597416,3.5500850663668,1.64664770282882,-0.011607204538828,4.46192728136979,-1.80483446028146
0.039,0.26,27.65,0.88,8.76,36,988.03088955399,35.355358638,392,5.00001448607522,0.985272024055476,67.8979924849627,0.165002314500757,5.97126183979046,"Canada",-3.24419363285249,-1.34707364796661,3.31962572796834,-0.127833371509885,2.1701959049483,3.58351893845611,6.8957139619899,3.56544996891651,1.60944080964495,-0.0148375093832287,4.21800646836856,-1.80179577790262
0.129,0.29,15.91,0.95,8.42,36,1943.86045440868,32.926725569,403,5.03910901978059,0.985165298058113,67.4095107483353,0.164223323231547,5.99893656194668,"Canada",-2.04794287462046,-1.23787435600162,2.7669478423497,-0.0512932943875506,2.13060982825424,3.58351893845611,7.5724311997323,3.49428465533728,1.61722928466597,-0.014945836602034,4.21078611698907,-1.80652805044573
0.079,0.22,8.79,0.58,8.63,30,3895.57489045134,38.611563846,458,5.22953141957847,0.986545438234059,74.3242342185676,0.161019504185267,6.12686918411419,"Canada",-2.53830742651512,-1.51412773262978,2.17361471169709,-0.544727175441672,2.15524450509534,3.40119738166216,8.26759654444848,3.6535518131078,1.65432167933611,-0.0135458945355363,4.30843706568366,-1.82622977732715
0.025,0.19,8.9,0.59,9.22,34,1166.31627264521,28.719333069,325,4.64663158497896,0.977603328291285,44.6494913621862,0.169023664698231,5.78382518232974,"Canada",-3.68887945411394,-1.66073120682165,2.18605127673809,-0.527632742082372,2.2213750375685,3.52636052461616,7.06160557596631,3.35757052207892,1.53614256677471,-0.0226512860173232,3.79884291559326,-1.77771654606186
0.017,0.16,8.2,0.82,8.54,31,1587.28968822624,30.466430596,349,4.87014869272924,0.978997763221862,47.613976099963,0.167205078986221,5.85507192220243,"Canada",-4.07454193492592,-1.83258146374831,2.10413415427021,-0.198450938723838,2.14476100780048,3.43398720448515,7.36978324213313,3.41662544127182,1.58312446901633,-0.0212259212122939,3.86312633368621,-1.78853420208105
