Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,undefined,undefined,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,undefined,diameter1,diameter2,DNA_per_g,elev,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,org_matter,Organism,undefined,Platform,ReleaseDate,undefined,samp_collect_device,samp_size,samp_store_dur,samp_store_loc,samp_store_temp,Sample Name,SRA Study,undefined,water_content
SRR12805347,AMPLICON,302,2173796,PRJNA668398,SAMN16408943,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",1207328,UNIVERSITY OF COLORADO AT BOULDER,0.034 ug / g cryoconite,Dec-2017,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",NA,0.44,0.44,1.95,350,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274166,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.73033 S 162.05768 E,T1_18S,PAIRED,PCR,GENOMIC,Total: 0.37%,sediment metagenome,8.79,ILLUMINA,2020-10-09T00:00:00Z,Taylor Glacier replicate 1,SIPRE core frozen,75.7 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,T1,SRP286940,< 0 C,24%
SRR12805348,AMPLICON,302,11313524,PRJNA668398,SAMN16408942,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",5674579,UNIVERSITY OF COLORADO AT BOULDER,NA,Dec-2017,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",0.16,0.07,0.07,5.35,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274165,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN40c_18S,PAIRED,PCR,GENOMIC,Total: 0.48%,sediment metagenome,8.63,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 23,SIPRE core frozen,6.7 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN40c,SRP286940,< 0 C,25%
SRR12805349,AMPLICON,302,10219982,PRJNA668398,SAMN16408941,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",5132095,UNIVERSITY OF COLORADO AT BOULDER,0.228 ug / g cryoconite,Dec-2017,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",0.15,0.1,0.1,10.53,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274164,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN40b_18S,PAIRED,PCR,GENOMIC,Total: 0.58%,sediment metagenome,9.02,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 22,SIPRE core frozen,14 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN40b,SRP286940,< 0 C,32%
SRR12805350,AMPLICON,302,10367660,PRJNA668398,SAMN16408940,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",5303509,UNIVERSITY OF COLORADO AT BOULDER,0.026 ug / g cryoconite,Dec-2017,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",0.16,0.17,0.17,13.17,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274163,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN40a_18S,PAIRED,PCR,GENOMIC,Total: 0.47%,sediment metagenome,8.74,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 21,SIPRE core frozen,48 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN40a,SRP286940,< 0 C,31%
SRR12805351,AMPLICON,302,11302652,PRJNA668398,SAMN16408939,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",5738728,UNIVERSITY OF COLORADO AT BOULDER,0.051 ug / g cryoconite,Dec-2017,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",0.3,0.67,0.68,7.31,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274162,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN40_18S,PAIRED,PCR,GENOMIC,NA,sediment metagenome,8.49,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 20,SIPRE core frozen,111.3 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN40,SRP286940,< 0 C,39%
SRR12805352,AMPLICON,502,14925966,PRJNA668398,SAMN16408926,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",9607160,UNIVERSITY OF COLORADO AT BOULDER,0.024 ug / g cryoconite,Dec-2017,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",0.25,0.38,0.38,7.89,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274161,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN27_16S,PAIRED,PCR,GENOMIC,Total: 0.59%,sediment metagenome,7.8,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 7,SIPRE core frozen,89.7 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN27,SRP286940,< 0 C,32%
SRR12805353,AMPLICON,302,14478182,PRJNA668398,SAMN16408938,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",7209813,UNIVERSITY OF COLORADO AT BOULDER,0.039 ug / g cryoconite,Dec-2017,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",0.27,0.5,0.51,7.67,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274160,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN39_18S,PAIRED,PCR,GENOMIC,Total: 0.6%,sediment metagenome,8.34,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 19,SIPRE core frozen,91.6 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN39,SRP286940,< 0 C,26%
SRR12805354,AMPLICON,302,12470486,PRJNA668398,SAMN16408937,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",6337679,UNIVERSITY OF COLORADO AT BOULDER,0.034 ug / g cryoconite,Dec-2017,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",0.25,0.49,0.51,12.54,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274159,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN38_18S,PAIRED,PCR,GENOMIC,Total: 0.72%,sediment metagenome,8.61,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 18,SIPRE core frozen,86.6 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN38,SRP286940,< 0 C,32%
SRR12805355,AMPLICON,302,16463530,PRJNA668398,SAMN16408936,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",8240652,UNIVERSITY OF COLORADO AT BOULDER,0.138 ug / g cryoconite,Dec-2017,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",0.35,0.67,0.77,6.12,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274158,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN37_18S,PAIRED,PCR,GENOMIC,Total: 0.52%,sediment metagenome,8.67,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 17,SIPRE core frozen,57.7 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN37,SRP286940,< 0 C,23%
SRR12805356,AMPLICON,302,12839530,PRJNA668398,SAMN16408935,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",6598087,UNIVERSITY OF COLORADO AT BOULDER,0.039 ug / g cryoconite,Dec-2017,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",0.26,0.37,0.34,27.65,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274157,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN36_18S,PAIRED,PCR,GENOMIC,Total: 0.88%,sediment metagenome,8.76,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 16,SIPRE core frozen,79.4 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN36,SRP286940,< 0 C,36%
