	Kingdom	Phylum	Class	Order	Family	Genus	Species
cc4fa36d40bc7a4d412d0e7cb87ef853	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	AAP99	uncultured bacterium
faef71610aa24b3d201ee1da2cce1099	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	SC-I-84	metagenome	metagenome
f6de5d7d1c5b2e6920c6d5e57c0275fd	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Cryptosporangiaceae	Fodinicola	uncultured bacterium
51a5955ebe58e2c36e26f6cfa32cbe22	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	NA	NA
1611a9b32995bb08d46cc8db72d1d5a0	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	uncultured bacterium	uncultured bacterium
c96fcaa4b11ee06f2b40e2ce0075025a	Bacteria	Cyanobacteria	Oxyphotobacteria	Leptolyngbyales	Leptolyngbyaceae	Phormidesmis ANT.L52.6	NA
1d555fb0f811f2b189b862d48c0c4e3d	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Polaromonas	NA
c46f368370d88db7a87cb1cba464a89c	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured	NA
856f38334acd06b4d1172931d5f9a619	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	uncultured	uncultured bacterium
4ac1ba7968697c58abccec7fd5ff5ad4	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured	NA
11b1b9498d856449b6356b82684d5912	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9 marine group	metagenome	metagenome
ebfcee89238bfdd3d216f97a2804d805	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
3c2b89ee1f14f41731c3f9bb8cd8b84c	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	NA
b60765bf2e10d524fe9872a961bc4c53	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	NA
224169c210046c499c00e917faa08715	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	NA
8b7893c890c3fc90c1548f44857cfd35	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	Fimbriiglobus	uncultured planctomycete
6c33785c46c3fef68941d9addceaf948	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	NA
6abc517aa40e9e7b9c652902fe04bb1a	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	NA	NA
5253d98d25bc51baaf939f468ca8ef59	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	NA
42aa75ceb3aa380892f5799a438967ec	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	Siccationidurans antarcticus
a02848c0cbe248976cd4af4802b9ae79	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	env.OPS 17	NA	NA
f0493d45d43f847aafc24636fd454a71	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	NA	NA	NA
da239bdbf78bd0f1cf6c0661482781dd	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9 marine group	metagenome	metagenome
5c71abd140cf62c27dd97fb112e96f96	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	NA	NA
28636ebe1e16ad47240eaa81244bd0b1	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Segetibacter	uncultured bacterium
44480529c018c2d9b2795dcbcbaa1000	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	NA	NA	NA
b15e35a767f8c9d193abc4f13b866315	Bacteria	Actinobacteria	Actinobacteria	Frankiales	uncultured	NA	NA
aa65593d5b6bb0554ae1cd1e3df3da45	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Rubinisphaeraceae	uncultured	metagenome
93e24884925cae6a2e3134217b58c675	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	NA
7c9f454292d4c13da1c45f58c47098d0	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	uncultured bacterium
522bc852651c57201b2461aff25c1997	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	uncultured	uncultured bacterium
826995c850aaa44b2ec407595c7627b4	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	Ellin6067	uncultured beta proteobacterium
af0f71644cecdfc76a415d319dc1b950	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	uncultured	uncultured bacterium	uncultured bacterium
76363618e6a55a0556fa9cdda32b9519	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	Ellin6067	NA
608e92bae485d3cd93d70977cd760bf3	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA
d913d23408b12ca79cc2924431677f76	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	Ellin6067	uncultured beta proteobacterium
1d90e2a14fcaf64ce6648221213758a8	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	NA
5f56c891d6d94049a3d43d20b5b70e35	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	uncultured bacterium
15985e5b21c459a170dacb98c2c503d3	Bacteria	Actinobacteria	Actinobacteria	Kineosporiales	Kineosporiaceae	NA	NA
6ab1fd921f6ddb8f39371386bb455901	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA
671fc5cee79caa17d1e54daf80f1e2d6	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	11-24	NA	NA	NA
f4c190387fd950de4d96fd5ffc84c652	Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	possible genus 04	uncultured bacterium
