"","Sum","corrcoeff","R.Procrustes","Rank","Type","Truncated"
"0.2",72668,0.970816077627223,0.984016164309838,"Phylum","Dominant",0.8
"0.25",63357,0.927063648425878,0.966051557825253,"Phylum","Dominant",0.75
"0.3",63357,0.927063648425878,0.966051557825253,"Phylum","Dominant",0.7
"0.35",51366,0.844665138782786,0.908769857386438,"Phylum","Dominant",0.65
"0.4",51366,0.844665138782786,0.908769857386438,"Phylum","Dominant",0.6
"0.45",35412,0.769336442711056,0.765896145680516,"Phylum","Dominant",0.55
"0.5",35412,0.769336442711056,0.765896145680516,"Phylum","Dominant",0.5
"0.55",35412,0.769336442711056,0.765896145680516,"Phylum","Dominant",0.45
"0.6",35412,0.769336442711056,0.765896145680516,"Phylum","Dominant",0.4
"0.65",18296,NA,NA,"Phylum","Dominant",0.35
"0.7",18296,NA,NA,"Phylum","Dominant",0.3
"0.75",18296,NA,NA,"Phylum","Dominant",0.25
"0.8",0,NA,NA,"Phylum","Dominant",0.2
"0.85",0,NA,NA,"Phylum","Dominant",0.15
"0.9",0,NA,NA,"Phylum","Dominant",0.1
"0.95",0,NA,NA,"Phylum","Dominant",0.05
"0.99",0,NA,NA,"Phylum","Dominant",0.01
"0.011",90404,0.999755404554166,0.999324696369019,"Class","Dominant",0.99
"0.051",86077,0.997755082894402,0.998756473267985,"Class","Dominant",0.95
"0.11",81818,0.99481658692185,0.952498677912391,"Class","Dominant",0.9
"0.151",75974,0.984288930883358,0.951827370532616,"Class","Dominant",0.85
"0.21",71270,0.979055258467023,0.935319239925795,"Class","Dominant",0.8
"0.251",66281,0.974428048731454,0.936355781818479,"Class","Dominant",0.75
"0.31",63440,0.970956803774141,0.92847804137988,"Class","Dominant",0.7
"0.351",58376,0.95161701044054,0.913559703757748,"Class","Dominant",0.65
"0.41",52050,0.915440338814952,0.907497739906355,"Class","Dominant",0.6
"0.451",43878,0.860248884242692,0.877834055663701,"Class","Dominant",0.55
"0.51",43878,0.860248884242692,0.877834055663701,"Class","Dominant",0.5
"0.551",33574,0.802949888089207,0.807612098486712,"Class","Dominant",0.45
"0.61",33574,0.802949888089207,0.807612098486712,"Class","Dominant",0.4
"0.651",17736,NA,NA,"Class","Dominant",0.35
"0.71",17736,NA,NA,"Class","Dominant",0.3
"0.751",17736,NA,NA,"Class","Dominant",0.25
"0.81",17736,NA,NA,"Class","Dominant",0.2
"0.851",0,NA,NA,"Class","Dominant",0.15
"0.91",0,NA,NA,"Class","Dominant",0.1
"0.951",0,NA,NA,"Class","Dominant",0.05
"0.991",0,NA,NA,"Class","Dominant",0.01
"0.012",90508,0.999695093348344,0.999747814761023,"Order","Dominant",0.99
"0.052",86708,0.998207416938067,0.997278001755478,"Order","Dominant",0.95
"0.12",81713,0.996729792395427,0.998584327955234,"Order","Dominant",0.9
"0.152",77017,0.994836690657124,0.997128793637631,"Order","Dominant",0.85
"0.22",73082,0.986754989076971,0.993719525579852,"Order","Dominant",0.8
"0.252",67178,0.974930642113305,0.8515081004652,"Order","Dominant",0.75
"0.32",63787,0.972568453218608,0.867222657955773,"Order","Dominant",0.7
"0.352",58850,0.960315226569097,0.848158936931191,"Order","Dominant",0.65
"0.42",53116,0.959095599962473,0.843364776267037,"Order","Dominant",0.6
"0.452",49708,0.947204240547894,0.817323269445286,"Order","Dominant",0.55
"0.52",44971,0.933503544958653,0.879606384156827,"Order","Dominant",0.5
"0.552",39908,0.915302963290579,0.84403514963561,"Order","Dominant",0.45
"0.62",34405,0.861495315829681,0.788732979223156,"Order","Dominant",0.4
"0.652",28855,0.867452722715881,0.778595568722415,"Order","Dominant",0.35
"0.72",23092,0.843288032916516,0.789392711625382,"Order","Dominant",0.3
"0.752",16471,0.735304169514696,0.759249909860269,"Order","Dominant",0.25
"0.82",16471,0.735304169514696,0.759249909860269,"Order","Dominant",0.2
"0.852",8815,NA,NA,"Order","Dominant",0.15
"0.92",8815,NA,NA,"Order","Dominant",0.1
"0.952",0,NA,NA,"Order","Dominant",0.05
"0.992",0,NA,NA,"Order","Dominant",0.01
"0.013",90515,0.999805663892351,0.998648717368264,"Family","Dominant",0.99
"0.053",86776,0.999041721951939,0.995351341825294,"Family","Dominant",0.95
"0.13",82146,0.997798640987495,0.992099302229557,"Family","Dominant",0.9
"0.153",77157,0.995469958318256,0.992816241549283,"Family","Dominant",0.85
"0.23",72256,0.993375819227213,0.993345107478217,"Family","Dominant",0.8
"0.253",67526,0.99098682535215,0.980692939821156,"Family","Dominant",0.75
"0.33",63264,0.985069625936499,0.951468481683669,"Family","Dominant",0.7
"0.353",58260,0.981263318724619,0.944291911283869,"Family","Dominant",0.65
"0.43",54469,0.97170064197928,0.937031936435775,"Family","Dominant",0.6
"0.453",49934,0.963407851178749,0.768627355314399,"Family","Dominant",0.55
"0.53",44396,0.946383338024205,0.71146169526184,"Family","Dominant",0.5
"0.553",40802,0.946601128489673,0.697976220857189,"Family","Dominant",0.45
"0.63",32636,0.945810381568896,0.736273804004316,"Family","Dominant",0.4
"0.653",28255,0.924054789379867,0.75425875727146,"Family","Dominant",0.35
"0.73",23313,0.928474260517604,0.919345309183667,"Family","Dominant",0.3
"0.753",18354,0.909348907026926,0.690623772596504,"Family","Dominant",0.25
"0.83",12851,0.656360151716189,0.632765218414199,"Family","Dominant",0.2
"0.853",12851,0.656360151716189,0.632765218414199,"Family","Dominant",0.15
"0.93",7088,NA,NA,"Family","Dominant",0.1
