"","Sum","corrcoeff","R.Procrustes","Rank","Type","Truncated"
"0.35",189801,0.842032506181538,0.896277784632395,"Phylum","Dominant",0.65
"0.4",131308,0.777116653658787,0.902563132863162,"Phylum","Dominant",0.6
"0.45",131308,0.777116653658787,0.902563132863162,"Phylum","Dominant",0.55
"0.5",131308,0.777116653658787,0.902563132863162,"Phylum","Dominant",0.5
"0.55",131308,0.777116653658787,0.902563132863162,"Phylum","Dominant",0.45
"0.6",71152,NA,NA,"Phylum","Dominant",0.4
"0.65",71152,NA,NA,"Phylum","Dominant",0.35
"0.7",71152,NA,NA,"Phylum","Dominant",0.3
"0.75",71152,NA,NA,"Phylum","Dominant",0.25
"0.8",0,NA,NA,"Phylum","Dominant",0.2
"0.85",0,NA,NA,"Phylum","Dominant",0.15
"0.9",0,NA,NA,"Phylum","Dominant",0.1
"0.95",0,NA,NA,"Phylum","Dominant",0.05
"0.99",0,NA,NA,"Phylum","Dominant",0.01
"0.011",311402,0.999771252456926,0.999121703677485,"Class","Dominant",0.99
"0.051",298768,0.993658448491901,0.995527759106961,"Class","Dominant",0.95
"0.11",281464,0.989835665870018,0.993211405863876,"Class","Dominant",0.9
"0.151",263525,0.979671222524485,0.990641653321126,"Class","Dominant",0.85
"0.21",250455,0.973623703635398,0.987348729820143,"Class","Dominant",0.8
"0.251",231844,0.945474635212313,0.979037002743332,"Class","Dominant",0.75
"0.31",212561,0.927557942207234,0.972977450282782,"Class","Dominant",0.7
"0.351",194502,0.896239251729608,0.963365012571223,"Class","Dominant",0.65
"0.41",162096,0.800815397397237,0.809735379895803,"Class","Dominant",0.6
"0.451",162096,0.800815397397237,0.809735379895803,"Class","Dominant",0.55
"0.51",128085,0.727443801223394,0.723073192581298,"Class","Dominant",0.5
"0.551",128085,0.727443801223394,0.723073192581298,"Class","Dominant",0.45
"0.61",70831,NA,NA,"Class","Dominant",0.4
"0.651",70831,NA,NA,"Class","Dominant",0.35
"0.71",70831,NA,NA,"Class","Dominant",0.3
"0.751",70831,NA,NA,"Class","Dominant",0.25
"0.81",0,NA,NA,"Class","Dominant",0.2
"0.851",0,NA,NA,"Class","Dominant",0.15
"0.91",0,NA,NA,"Class","Dominant",0.1
"0.951",0,NA,NA,"Class","Dominant",0.05
"0.991",0,NA,NA,"Class","Dominant",0.01
"0.012",311399,0.999781633837776,0.999313475124912,"Order","Dominant",0.99
"0.052",298051,0.996058327388385,0.967801356665017,"Order","Dominant",0.95
"0.12",282389,0.993254924341001,0.997314920427611,"Order","Dominant",0.9
"0.152",267095,0.990320213943228,0.966176258558897,"Order","Dominant",0.85
"0.22",251412,0.984652830109204,0.965402011408001,"Order","Dominant",0.8
"0.252",231033,0.969781066654856,0.954867465292263,"Order","Dominant",0.75
"0.32",218661,0.967697195576375,0.93994005649882,"Order","Dominant",0.7
"0.352",204476,0.960945233376504,0.935171934903695,"Order","Dominant",0.65
