Source,Target,Type,Id,Label,timeset,Weight
1921,8,Undirected,391,,,0.613692
42,9,Undirected,392,,,0.627824
119,9,Undirected,393,,,0.606776
141,9,Undirected,394,,,0.724178
216,9,Undirected,395,,,0.682006
218,9,Undirected,396,,,0.617582
223,9,Undirected,397,,,0.743797
224,9,Undirected,398,,,0.657366
245,9,Undirected,399,,,0.650925
259,9,Undirected,400,,,0.643484
260,9,Undirected,401,,,0.656966
261,9,Undirected,402,,,0.640031
295,9,Undirected,403,,,0.785202
419,9,Undirected,404,,,0.675845
473,9,Undirected,405,,,0.690504
481,9,Undirected,406,,,0.635379
506,9,Undirected,407,,,0.618731
520,9,Undirected,408,,,0.633932
529,9,Undirected,409,,,0.653033
584,9,Undirected,410,,,0.671769
684,9,Undirected,411,,,0.715617
699,9,Undirected,412,,,0.755555
711,9,Undirected,413,,,0.634899
760,9,Undirected,414,,,0.77874
764,9,Undirected,415,,,0.645688
794,9,Undirected,416,,,0.623099
800,9,Undirected,417,,,0.622807
802,9,Undirected,418,,,0.73593
807,9,Undirected,419,,,0.68423
829,9,Undirected,420,,,0.613262
830,9,Undirected,421,,,0.650519
835,9,Undirected,422,,,0.692003
842,9,Undirected,423,,,0.623538
843,9,Undirected,424,,,0.627392
850,9,Undirected,425,,,0.63493
870,9,Undirected,426,,,0.68633
877,9,Undirected,427,,,0.610218
878,9,Undirected,428,,,0.791704
879,9,Undirected,429,,,0.608735
882,9,Undirected,430,,,0.632015
883,9,Undirected,431,,,0.805181
884,9,Undirected,432,,,0.610164
889,9,Undirected,433,,,0.748116
926,9,Undirected,434,,,0.662028
932,9,Undirected,435,,,0.715338
935,9,Undirected,436,,,0.64437
936,9,Undirected,437,,,0.796265
954,9,Undirected,438,,,0.700558
955,9,Undirected,439,,,0.6226
996,9,Undirected,440,,,0.812637
1010,9,Undirected,441,,,0.63368
1013,9,Undirected,442,,,0.616219
1036,9,Undirected,443,,,0.661897
1038,9,Undirected,444,,,0.620602
1052,9,Undirected,445,,,0.609707
1064,9,Undirected,446,,,0.750416
1065,9,Undirected,447,,,0.648598
1073,9,Undirected,448,,,0.680086
1092,9,Undirected,449,,,0.637662
1094,9,Undirected,450,,,0.695881
1095,9,Undirected,451,,,0.702682
1099,9,Undirected,452,,,0.600249
1102,9,Undirected,453,,,0.640386
1103,9,Undirected,454,,,0.700024
1115,9,Undirected,455,,,0.648565
1118,9,Undirected,456,,,0.605755
1140,9,Undirected,457,,,0.787218
1141,9,Undirected,458,,,0.63519
1150,9,Undirected,459,,,0.670842
1157,9,Undirected,460,,,0.65549
1158,9,Undirected,461,,,0.606596
1161,9,Undirected,462,,,0.681458
1196,9,Undirected,463,,,0.615124
1198,9,Undirected,464,,,0.701259
1232,9,Undirected,465,,,0.60858
1243,9,Undirected,466,,,0.615633
1262,9,Undirected,467,,,0.750111
1270,9,Undirected,468,,,0.714585
1275,9,Undirected,469,,,0.600798
1277,9,Undirected,470,,,0.742079
1280,9,Undirected,471,,,0.715283
1286,9,Undirected,472,,,0.709892
1288,9,Undirected,473,,,0.704331
1294,9,Undirected,474,,,0.678116
1347,9,Undirected,475,,,0.744311
1360,9,Undirected,476,,,0.611954
1364,9,Undirected,477,,,0.640894
1385,9,Undirected,478,,,0.686731
1394,9,Undirected,479,,,0.604001
1404,9,Undirected,480,,,0.68771
1409,9,Undirected,481,,,0.648399
1410,9,Undirected,482,,,0.614157
1411,9,Undirected,483,,,0.626478
1412,9,Undirected,484,,,0.737144
1426,9,Undirected,485,,,0.745683
1427,9,Undirected,486,,,0.773265
1431,9,Undirected,487,,,0.742233
1432,9,Undirected,488,,,0.677363
1434,9,Undirected,489,,,0.640773
1440,9,Undirected,490,,,0.709769
1442,9,Undirected,491,,,0.666459
1444,9,Undirected,492,,,0.667996
1464,9,Undirected,493,,,0.729741
1476,9,Undirected,494,,,0.707892
1511,9,Undirected,495,,,0.603333
1544,9,Undirected,496,,,0.746761
1549,9,Undirected,497,,,0.695717
1584,9,Undirected,498,,,0.768907
1598,9,Undirected,499,,,0.62201
1656,9,Undirected,500,,,0.677685
1657,9,Undirected,501,,,0.635066
1668,9,Undirected,502,,,0.614511
1671,9,Undirected,503,,,0.623544
1672,9,Undirected,504,,,0.764675
1674,9,Undirected,505,,,0.68245
1677,9,Undirected,506,,,0.785341
1695,9,Undirected,507,,,0.735513
1706,9,Undirected,508,,,0.735045
1731,9,Undirected,509,,,0.638347
1736,9,Undirected,510,,,0.686714
1740,9,Undirected,511,,,0.681734
1742,9,Undirected,512,,,0.610294
1758,9,Undirected,513,,,0.693568
1763,9,Undirected,514,,,0.630302
1773,9,Undirected,515,,,0.639024
1775,9,Undirected,516,,,0.674647
1789,9,Undirected,517,,,0.778608
1791,9,Undirected,518,,,0.757888
1851,9,Undirected,519,,,0.63687
1866,9,Undirected,520,,,0.668106
1882,9,Undirected,521,,,0.673752
1883,9,Undirected,522,,,0.687326
1886,9,Undirected,523,,,0.646903
1906,9,Undirected,524,,,0.676655
34,10,Undirected,525,,,0.757588
46,10,Undirected,526,,,0.755571
47,10,Undirected,527,,,0.777863
105,10,Undirected,528,,,0.777686
108,10,Undirected,529,,,0.778749
114,10,Undirected,530,,,0.77813
166,10,Undirected,531,,,0.777686
172,10,Undirected,532,,,0.672622
175,10,Undirected,533,,,0.777422
193,10,Undirected,534,,,0.777776
194,10,Undirected,535,,,0.75865
195,10,Undirected,536,,,0.779193
208,10,Undirected,537,,,0.777776
209,10,Undirected,538,,,0.753842
281,10,Undirected,539,,,0.778839
282,10,Undirected,540,,,0.777776
348,10,Undirected,541,,,0.748025
416,10,Undirected,542,,,0.777422
426,10,Undirected,543,,,0.778749
534,10,Undirected,544,,,0.779547
535,10,Undirected,545,,,0.779193
601,10,Undirected,546,,,0.778749
636,10,Undirected,547,,,0.749526
660,10,Undirected,548,,,0.778839
686,10,Undirected,549,,,0.777422
690,10,Undirected,550,,,0.779193
693,10,Undirected,551,,,0.794915
694,10,Undirected,552,,,0.783654
695,10,Undirected,553,,,0.746577
696,10,Undirected,554,,,0.77813
720,10,Undirected,555,,,0.73858
721,10,Undirected,556,,,0.777422
749,10,Undirected,557,,,0.778749
750,10,Undirected,558,,,0.75865
769,10,Undirected,559,,,0.778839
774,10,Undirected,560,,,0.759798
778,10,Undirected,561,,,0.728981
785,10,Undirected,562,,,0.759798
790,10,Undirected,563,,,0.771445
810,10,Undirected,564,,,0.655288
812,10,Undirected,565,,,0.602822
819,10,Undirected,566,,,0.748733
821,10,Undirected,567,,,0.771445
822,10,Undirected,568,,,0.777776
824,10,Undirected,569,,,0.686941
853,10,Undirected,570,,,0.672313
855,10,Undirected,571,,,0.757588
856,10,Undirected,572,,,0.779193
863,10,Undirected,573,,,0.795753
866,10,Undirected,574,,,0.655288
868,10,Undirected,575,,,0.728899
900,10,Undirected,576,,,0.778839
906,10,Undirected,577,,,0.77813
929,10,Undirected,578,,,0.758977
972,10,Undirected,579,,,0.809212
975,10,Undirected,580,,,0.779193
995,10,Undirected,581,,,0.779193
1024,10,Undirected,582,,,0.767335
1025,10,Undirected,583,,,0.779193
1028,10,Undirected,584,,,0.77813
1041,10,Undirected,585,,,0.671075
1042,10,Undirected,586,,,0.779547
1045,10,Undirected,587,,,0.777776
1046,10,Undirected,588,,,0.77813
1047,10,Undirected,589,,,0.77813
1068,10,Undirected,590,,,0.611755
1097,10,Undirected,591,,,0.77813
1122,10,Undirected,592,,,0.794635
1170,10,Undirected,593,,,0.778839
1211,10,Undirected,594,,,0.794691
1215,10,Undirected,595,,,0.721694
1217,10,Undirected,596,,,0.77813
1219,10,Undirected,597,,,0.779193
1220,10,Undirected,598,,,0.77928
1246,10,Undirected,599,,,0.779193
1256,10,Undirected,600,,,0.777422
1259,10,Undirected,601,,,0.777776
1291,10,Undirected,602,,,0.809919
1301,10,Undirected,603,,,0.77928
1370,10,Undirected,604,,,0.779193
1371,10,Undirected,605,,,0.778839
1372,10,Undirected,606,,,0.778839
1504,10,Undirected,607,,,0.749526
1508,10,Undirected,608,,,0.779547
1516,10,Undirected,609,,,0.796442
1519,10,Undirected,610,,,0.800782
1520,10,Undirected,611,,,0.772339
1521,10,Undirected,612,,,0.671075
1523,10,Undirected,613,,,0.777776
1527,10,Undirected,614,,,0.798463
1528,10,Undirected,615,,,0.77813
1532,10,Undirected,616,,,0.779193
1554,10,Undirected,617,,,0.787371
1556,10,Undirected,618,,,0.779193
1564,10,Undirected,619,,,0.77813
1567,10,Undirected,620,,,0.749442
1568,10,Undirected,621,,,0.779193
1570,10,Undirected,622,,,0.8019
1600,10,Undirected,623,,,0.664265
1608,10,Undirected,624,,,0.779206
1609,10,Undirected,625,,,0.77813
1610,10,Undirected,626,,,0.779193
1611,10,Undirected,627,,,0.77813
1613,10,Undirected,628,,,0.737084
1619,10,Undirected,629,,,0.778834
1624,10,Undirected,630,,,0.71131
1661,10,Undirected,631,,,0.786533
1683,10,Undirected,632,,,0.777776
1684,10,Undirected,633,,,0.661789
1685,10,Undirected,634,,,0.759798
1689,10,Undirected,635,,,0.777422
1830,10,Undirected,636,,,0.77813
1836,10,Undirected,637,,,0.711654
1874,10,Undirected,638,,,0.757588
1905,10,Undirected,639,,,0.655288
1923,10,Undirected,640,,,0.77813
34,11,Undirected,641,,,0.61326
46,11,Undirected,642,,,0.756797
57,11,Undirected,643,,,0.620924
160,11,Undirected,644,,,0.615996
191,11,Undirected,645,,,0.716053
209,11,Undirected,646,,,0.75822
217,11,Undirected,647,,,0.639172
242,11,Undirected,648,,,0.630488
297,11,Undirected,649,,,0.682343
342,11,Undirected,650,,,0.613284
422,11,Undirected,651,,,0.665477
536,11,Undirected,652,,,0.630601
627,11,Undirected,653,,,0.682907
687,11,Undirected,654,,,0.68178
689,11,Undirected,655,,,0.608261
693,11,Undirected,656,,,0.61902
694,11,Undirected,657,,,0.759693
701,11,Undirected,658,,,0.605154
719,11,Undirected,659,,,0.71507
720,11,Undirected,660,,,0.62726
727,11,Undirected,661,,,0.693376
750,11,Undirected,662,,,0.612828
778,11,Undirected,663,,,0.601238
785,11,Undirected,664,,,0.612033
790,11,Undirected,665,,,0.761286
812,11,Undirected,666,,,0.670235
813,11,Undirected,667,,,0.660376
816,11,Undirected,668,,,0.737622
821,11,Undirected,669,,,0.77968
827,11,Undirected,670,,,0.70557
866,11,Undirected,671,,,0.704511
868,11,Undirected,672,,,0.601602
940,11,Undirected,673,,,0.698892
941,11,Undirected,674,,,0.769455
972,11,Undirected,675,,,0.630781
999,11,Undirected,676,,,0.81974
1027,11,Undirected,677,,,0.642081
1051,11,Undirected,678,,,0.690712
1061,11,Undirected,679,,,0.654324
1085,11,Undirected,680,,,0.694386
1122,11,Undirected,681,,,0.632305
1146,11,Undirected,682,,,0.638799
1147,11,Undirected,683,,,0.676026
1154,11,Undirected,684,,,0.688321
1171,11,Undirected,685,,,0.632218
1204,11,Undirected,686,,,0.600158
1207,11,Undirected,687,,,0.612033
1210,11,Undirected,688,,,0.623352
1215,11,Undirected,689,,,0.688056
1218,11,Undirected,690,,,0.60233
1235,11,Undirected,691,,,0.654569
1271,11,Undirected,692,,,0.674457
1448,11,Undirected,693,,,0.65388
1488,11,Undirected,694,,,0.624232
1514,11,Undirected,695,,,0.678968
1517,11,Undirected,696,,,0.684081
1522,11,Undirected,697,,,0.676863
1554,11,Undirected,698,,,0.7614
1566,11,Undirected,699,,,0.653946
1590,11,Undirected,700,,,0.619592
1595,11,Undirected,701,,,0.691288
1608,11,Undirected,702,,,0.761158
1613,11,Undirected,703,,,0.640726
1624,11,Undirected,704,,,0.728635
1650,11,Undirected,705,,,0.655456
1659,11,Undirected,706,,,0.806967
1661,11,Undirected,707,,,0.761967
1685,11,Undirected,708,,,0.612033
1686,11,Undirected,709,,,0.700504
1687,11,Undirected,710,,,0.696387
1688,11,Undirected,711,,,0.65431
1759,11,Undirected,712,,,0.62951
1778,11,Undirected,713,,,0.613411
1833,11,Undirected,714,,,0.692695
1836,11,Undirected,715,,,0.681675
1864,11,Undirected,716,,,0.654569
1874,11,Undirected,717,,,0.61326
1875,11,Undirected,718,,,0.693757
384,12,Undirected,719,,,0.735385
642,12,Undirected,720,,,0.710098
739,12,Undirected,721,,,0.73007
766,12,Undirected,722,,,0.711384
869,12,Undirected,723,,,0.735385
877,12,Undirected,724,,,0.719037
879,12,Undirected,725,,,0.734606
884,12,Undirected,726,,,0.701354
926,12,Undirected,727,,,0.645413
933,12,Undirected,728,,,0.709608
1294,12,Undirected,729,,,0.689822
1358,12,Undirected,730,,,0.840882
1377,12,Undirected,731,,,0.740014
1511,12,Undirected,732,,,0.658258
1616,12,Undirected,733,,,0.647129
1747,12,Undirected,734,,,0.645071
1767,12,Undirected,735,,,0.800547
1866,12,Undirected,736,,,0.738165
1869,12,Undirected,737,,,0.633542
1872,12,Undirected,738,,,0.636405
37,13,Undirected,739,,,0.659336
38,13,Undirected,740,,,0.759076
46,13,Undirected,741,,,0.772479
52,13,Undirected,742,,,0.634201
53,13,Undirected,743,,,0.647217
176,13,Undirected,744,,,0.669597
190,13,Undirected,745,,,0.78381
209,13,Undirected,746,,,0.788535
213,13,Undirected,747,,,0.62014
217,13,Undirected,748,,,0.678909
219,13,Undirected,749,,,0.641679
228,13,Undirected,750,,,0.726216
232,13,Undirected,751,,,0.652901
237,13,Undirected,752,,,0.656889
