"Site1" "Site2" "RCb"
"814" "122" "129" 2
"815" "122" "203" 2
"816" "122" "209" 2
"817" "122" "210" 2
"818" "122" "211" 2
"819" "122" "212" 2
"820" "122" "217" 2
"821" "122" "218" 2
"822" "122" "60" 2
"823" "122" "61" 2
"824" "122" "62" 2
"825" "122" "63" 2
"826" "122" "64" 2
"827" "122" "65" 2
"828" "122" "66" 2
"829" "122" "67" 2
"830" "122" "68" 2
"831" "122" "69" 2
"832" "122" "70" 2
"833" "122" "71" 2
"834" "122" "72" 2
"835" "122" "73" 2
"836" "122" "74" 2
"837" "122" "76" 2
"838" "122" "77" 2
"839" "122" "78" 2
"840" "122" "81" 2
"841" "122" "82" 2
"842" "122" "83" 2
"843" "122" "86" 2
"844" "122" "87" 2
"845" "122" "88" 2
"846" "122" "89" 2
"847" "122" "90" 2
"848" "122" "91" 2
"849" "122" "92" 2
"850" "122" "93" 2
"851" "122" "94" 2
"852" "122" "95" 2
"853" "122" "96" 2
"854" "122" "97" 2
"855" "122" "98" 2
"856" "122" "99" 2
"857" "124" "125" 2
"858" "124" "128" 2
"859" "124" "129" 2
"860" "124" "203" 2
"861" "124" "209" 2
"862" "124" "210" 2
"863" "124" "211" 2
"864" "124" "212" 2
"865" "124" "217" 2
"866" "124" "218" 2
"867" "124" "60" 2
"868" "124" "61" 2
"869" "124" "62" 2
"870" "124" "63" 2
"871" "124" "64" 2
"872" "124" "65" 2
"873" "124" "66" 2
"874" "124" "67" 2
"875" "124" "68" 2
"876" "124" "69" 2
"877" "124" "70" 2
"878" "124" "71" 2
"879" "124" "72" 2
"880" "124" "73" 2
"881" "124" "74" 2
"882" "124" "76" 2
"883" "124" "77" 2
"884" "124" "78" 2
"885" "124" "81" 2
"886" "124" "82" 2
"887" "124" "83" 2
"888" "124" "86" 2
"889" "124" "87" 2
"890" "124" "88" 2
"891" "124" "89" 2
"892" "124" "90" 2
"893" "124" "91" 2
"894" "124" "92" 2
"895" "124" "93" 2
"896" "124" "94" 2
"897" "124" "95" 2
"898" "124" "96" 2
"899" "124" "97" 2
"900" "124" "98" 2
"901" "124" "99" 2
"902" "125" "128" 2
"903" "125" "129" 2
"904" "125" "203" 2
"905" "125" "209" 2
"906" "125" "210" 2
"907" "125" "211" 2
"908" "125" "212" 2
"909" "125" "217" 2
"910" "125" "218" 2
"911" "125" "60" 2
"912" "125" "61" 2
"913" "125" "62" 2
"914" "125" "63" 2
"915" "125" "64" 2
"916" "125" "65" 2
"917" "125" "66" 2
"918" "125" "67" 2
"919" "125" "68" 2
"920" "125" "69" 2
"921" "125" "70" 2
"922" "125" "71" 2
"923" "125" "72" 2
"924" "125" "73" 2
"925" "125" "74" 2
"926" "125" "76" 2
"927" "125" "77" 2
"928" "125" "78" 2
"929" "125" "81" 2
"930" "125" "82" 2
"931" "125" "83" 2
"932" "125" "86" 2
"933" "125" "87" 2
"934" "125" "88" 2
"935" "125" "89" 2
"936" "125" "90" 2
"937" "125" "91" 2
"938" "125" "92" 2
"939" "125" "93" 2
"940" "125" "94" 2
"941" "125" "95" 2
"942" "125" "96" 2
"943" "125" "97" 2
"944" "125" "98" 2
"945" "125" "99" 2
"946" "128" "129" 2
"947" "128" "203" 2
"948" "128" "209" 2
"949" "128" "210" 2
"950" "128" "211" 2
"951" "128" "212" 2
"952" "128" "217" 2
"953" "128" "218" 2
"954" "128" "60" 2
"955" "128" "61" 2
"956" "128" "62" 2
"957" "128" "63" 2
"958" "128" "64" 2
"959" "128" "65" 2
"960" "128" "66" 2
"961" "128" "67" 2
"962" "128" "68" 2
"963" "128" "69" 2
"964" "128" "70" 2
"965" "128" "71" 2
"966" "128" "72" 2
"967" "128" "73" 2
"968" "128" "74" 2
"969" "128" "76" 2
"970" "128" "77" 2
"971" "128" "78" 2
"972" "128" "81" 2
"973" "128" "82" 2
"974" "128" "83" 2
"975" "128" "86" 2
"976" "128" "87" 2
"977" "128" "88" 2
"978" "128" "89" 2
"979" "128" "90" 2
"980" "128" "91" 2
"981" "128" "92" 2
"982" "128" "93" 2
"983" "128" "94" 2
"984" "128" "95" 2
"985" "128" "96" 2
"986" "128" "97" 2
"987" "128" "98" 2
"988" "128" "99" 2
"989" "129" "203" 2
"990" "129" "209" 2
"991" "129" "210" 2
"992" "129" "211" 2
"993" "129" "212" 2
"994" "129" "217" 2
"995" "129" "218" 2
"996" "129" "60" 2
"997" "129" "61" 2
"998" "129" "62" 2
"999" "129" "63" 2
"1000" "129" "64" 2
"1001" "129" "65" 2
"1002" "129" "66" 2
"1003" "129" "67" 2
"1004" "129" "68" 2
"1005" "129" "69" 2
"1006" "129" "70" 2
"1007" "129" "71" 2
"1008" "129" "72" 2
"1009" "129" "73" 2
"1010" "129" "74" 2
"1011" "129" "76" 2
"1012" "129" "77" 2
"1013" "129" "78" 2
"1014" "129" "81" 2
"1015" "129" "82" 2
"1016" "129" "83" 2
"1017" "129" "86" 2
"1018" "129" "87" 2
"1019" "129" "88" 2
"1020" "129" "89" 2
"1021" "129" "90" 2
"1022" "129" "91" 2
"1023" "129" "92" 2
"1024" "129" "93" 2
"1025" "129" "94" 2
"1026" "129" "95" 2
"1027" "129" "96" 2
"1028" "129" "97" 2
"1029" "129" "98" 2
"1030" "129" "99" 2
"1031" "203" "209" 2
"1032" "203" "210" 2
"1033" "203" "211" 2
"1034" "203" "212" 2
"1035" "203" "217" 2
"1036" "203" "218" 2
"1037" "203" "60" 2
"1038" "203" "61" 2
"1039" "203" "62" 2
"1040" "203" "63" 2
"1041" "203" "64" 2
"1042" "203" "65" 2
"1043" "203" "66" 2
"1044" "203" "67" 2
"1045" "203" "68" 2
"1046" "203" "69" 2
"1047" "203" "70" 2
"1048" "203" "71" 2
"1049" "203" "72" 2
"1050" "203" "73" 2
"1051" "203" "74" 2
"1052" "203" "76" 2
"1053" "203" "77" 2
"1054" "203" "78" 2
"1055" "203" "81" 2
"1056" "203" "82" 2
"1057" "203" "83" 2
"1058" "203" "86" 2
"1059" "203" "87" 2
"1060" "203" "88" 2
"1061" "203" "89" 2
"1062" "203" "90" 2
"1063" "203" "91" 2
"1064" "203" "92" 2
"1065" "203" "93" 2
"1066" "203" "94" 2
"1067" "203" "95" 2
"1068" "203" "96" 2
"1069" "203" "97" 2
"1070" "203" "98" 2
"1071" "203" "99" 2
"1072" "209" "210" 2
"1073" "209" "211" 2
"1074" "209" "212" 2
"1075" "209" "217" 2
"1076" "209" "218" 2
"1077" "209" "60" 2
"1078" "209" "61" 2
"1079" "209" "62" 2
"1080" "209" "63" 2
"1081" "209" "64" 2
"1082" "209" "65" 2
"1083" "209" "66" 2
"1084" "209" "67" 2
"1085" "209" "68" 2
"1086" "209" "69" 2
"1087" "209" "70" 2
"1088" "209" "71" 2
"1089" "209" "72" 2
"1090" "209" "73" 2
"1091" "209" "74" 2
"1092" "209" "76" 2
"1093" "209" "77" 2
"1094" "209" "78" 2
"1095" "209" "81" 2
"1096" "209" "82" 2
"1097" "209" "83" 2
"1098" "209" "86" 2
"1099" "209" "87" 2
"1100" "209" "88" 2
"1101" "209" "89" 2
"1102" "209" "90" 2
"1103" "209" "91" 2
"1104" "209" "92" 2
"1105" "209" "93" 2
"1106" "209" "94" 2
"1107" "209" "95" 2
"1108" "209" "96" 2
"1109" "209" "97" 2
"1110" "209" "98" 2
"1111" "209" "99" 2
"1112" "210" "211" 2
"1113" "210" "212" 2
"1114" "210" "217" 2
"1115" "210" "218" 2
"1116" "210" "60" 2
"1117" "210" "61" 2
"1118" "210" "62" 2
"1119" "210" "63" 2
"1120" "210" "64" 2
"1121" "210" "65" 2
"1122" "210" "66" 2
"1123" "210" "67" 2
"1124" "210" "68" 2
"1125" "210" "69" 2
"1126" "210" "70" 2
"1127" "210" "71" 2
"1128" "210" "72" 2
"1129" "210" "73" 2
"1130" "210" "74" 2
"1131" "210" "76" 2
"1132" "210" "77" 2
"1133" "210" "78" 2
"1134" "210" "81" 2
"1135" "210" "82" 2
"1136" "210" "83" 2
"1137" "210" "86" 2
"1138" "210" "87" 2
"1139" "210" "88" 2
"1140" "210" "89" 2
"1141" "210" "90" 2
"1142" "210" "91" 2
"1143" "210" "92" 2
"1144" "210" "93" 2
"1145" "210" "94" 2
"1146" "210" "95" 2
"1147" "210" "96" 2
"1148" "210" "97" 2
"1149" "210" "98" 2
"1150" "210" "99" 2
