"Sample_1" "Sample_2" "bMNTD" "mean_bMNTD" "sd_bMNTD" "bNTI" "Glacier_1" "Glacier_2" "Glacier"
"66" 78 60 2.11452910641099 0.304518125718114 0.136100495681266 13.2990770653161 "Canada" "Canada" "Canada"
"67" 81 60 2.09006254203762 0.313647036060848 0.144045483812619 12.3323235061476 "Canada" "Canada" "Canada"
"68" 82 60 2.09726796247091 0.305128700484766 0.134996016239115 13.2754973955067 "Canada" "Canada" "Canada"
"69" 83 60 2.15166154805735 0.302135078625156 0.140129901693311 13.1986567255295 "Canada" "Canada" "Canada"
"70" 62 61 1.10729485457849 0.274390821532785 0.136382081248653 6.10713684246506 "Canada" "Canada" "Canada"
"71" 78 61 0.0364994207759448 0.309131411839418 0.134931704628557 -2.02051839346416 "Canada" "Canada" "Canada"
"72" 81 61 0.00273774049367727 0.322422274228648 0.132615134799525 -2.41061877453308 "Canada" "Canada" "Canada"
"73" 82 61 0.00763552372071291 0.312704573419098 0.131666054542258 -2.31699089608912 "Canada" "Canada" "Canada"
"74" 83 61 0.0115611428797695 0.309075392299748 0.140537165595251 -2.11697915038948 "Canada" "Canada" "Canada"
"75" 78 62 1.09580371013158 0.26073041629366 0.127743899703251 6.53708940918349 "Canada" "Canada" "Canada"
"76" 81 62 1.10181845680176 0.274602355129531 0.140665794870727 5.88071963359998 "Canada" "Canada" "Canada"
"77" 82 62 1.0983132240454 0.268883616073631 0.13557594256136 6.11782291387263 "Canada" "Canada" "Canada"
"78" 83 62 1.15069708150766 0.267946477168306 0.145463269571885 6.0685464236944 "Canada" "Canada" "Canada"
"79" 64 63 2.16493937989617 0.248875616808207 0.12368726580186 15.491196694067 "Commonwealth" "Commonwealth" "Commonwealth"
"80" 65 63 0.391234303158749 0.236093416579339 0.104532315837279 1.48414282546759 "Commonwealth" "Commonwealth" "Commonwealth"
"81" 90 63 0.0366807370375904 0.308143189711268 0.19044806786732 -1.42538832613833 "Commonwealth" "Commonwealth" "Commonwealth"
"82" 91 63 0.000496781689907116 0.297617943590872 0.160447684023019 -1.85182580671179 "Commonwealth" "Commonwealth" "Commonwealth"
"83" 92 63 0.0103268982175121 0.300020736398222 0.157319121303891 -1.84144073383878 "Commonwealth" "Commonwealth" "Commonwealth"
"84" 93 63 0.0395724494251886 0.300805416151604 0.151282904430527 -1.72678444871066 "Commonwealth" "Commonwealth" "Commonwealth"
